"country","variable","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Congo","suspect_bite_incidence","a3_1","east africa",1281.07092539093,1461.36300042129,1372.18137750375,30100.1342178102,33529.5498354842,31875.8086020664,1439797.08171988,1587370.49201164,1517571.6411323,2548.9762470308,2927.04395368627,2741.90734373972,251.652462861847,288.9779066039,270.699947398431,26805.8239863615,30650.0079453029,28735.5421723354,48666.3171604587,55629.4846099706,52170.8460381811,5745.23806753986,6567.26564299187,6158.96061512238,26010.7215512106,29027.846120411,27549.7702308034,17767.7110154846,19928.9931299889,18868.8602536194,0,0,0,FALSE,491.894588704972,622.748247991995,553.472984635018,25.8819058241252,32.617436137152,29.0884997345389,8.7811415165195e-07,1.12532208994027e-06,9.95255975192851e-07
"Congo","suspect_bite_incidence","a5_1","east africa",508.608683578359,892.544075226592,663.430932931151,11493.6880468278,15189.6410813322,13064.7328214538,642179.638384476,833098.842229948,722623.569811091,393.748461770408,840.475102542647,572.579791393225,38.8735557139893,82.9774815576635,56.5290142883339,12075.8859536077,20474.6692314573,15426.7650872778,9178.45501099068,18876.0927316091,13046.7637130166,1083.55043502636,2228.39230202047,1540.21853133203,8805.44143035538,12378.0010556186,10235.1962423037,5416.37208282971,7361.69339170726,6228.92641503266,0,0,0,FALSE,764.067414301414,2115.81484911482,1262.04867980544,34.0207927305374,90.7667838685661,55.3871891686166,3.18103432049458e-07,9.54495137115149e-07,5.59422387063439e-07
"Congo","non_suspect_bite_incidence","a1","east africa",2341.82762446782,2493.31446013393,2417.16374524641,30458.3414896577,34451.0423654159,32527.5487877797,1238878.14507908,1391108.40978359,1314435.20787914,1253.24811831932,1404.73495398543,1329.39883320684,123.729272063406,138.685094162937,131.247394279122,46060.9292992246,49028.7967148616,47539.8937496952,24658.5869198201,27626.4543354571,26147.4898849865,2911.03704840434,3261.40473288536,3086.8075297856,10858.8292504948,12168.3430551346,11513.9293403642,4321.54186003376,5191.99568969079,4749.84505352568,0,0,0,FALSE,881.930175912699,1110.00239254231,988.744066149352,44.8439068595585,56.414765951793,50.2700340897299,1.02992503797836e-06,1.29363389144499e-06,1.15460047904445e-06
"Congo","non_suspect_bite_incidence","a3_1","east africa",1250.22142855438,1250.2312511999,1250.22632220414,28638.6927928167,30546.3551096511,29606.1294746993,1373221.29004017,1457896.00690653,1416162.55191951,2496.33132725335,2496.34114989887,2496.33625624912,246.454994374413,246.455964133524,246.455480998769,26185.4361831777,26185.6191809901,26185.5273528324,47501.7644536916,47501.9474515039,47501.8562818493,5607.75832933582,5607.77993290189,5607.76916998821,24724.983589873,26458.1127975478,25603.9089401043,16930.805541021,18126.8269101345,17537.3462975192,0,0,0,FALSE,550.093600025702,584.015427355395,567.296392212552,28.9087366668942,30.6914074387236,29.8127833892807,9.43503169086466e-07,1.00964319787105e-06,9.74982477124427e-07
"Congo","non_suspect_bite_incidence","a5_1","east africa",627.107978034832,627.109626111943,627.10879910815,11734.7996219094,13642.4619387438,12702.236303792,660786.618134685,745461.335001039,703727.880014026,549.176181788078,549.177829865188,549.17700879187,54.2184490157649,54.2186117252701,54.2185306632661,14551.3938453963,14551.4310587343,14551.4123851107,12478.4974207635,12478.5346341014,12478.5160943871,1473.13260157105,1473.13699474272,1473.13480606112,9184.02102619122,10917.150233866,10062.9463764225,5550.25303540795,6746.27440452152,6156.7937919062,0,0,0,FALSE,1203.22886722666,1357.41745494838,1281.42269022178,52.9538633750218,59.7396713614443,56.3951574603144,5.03039868485536e-07,5.97971006707224e-07,5.45741762152874e-07
"Congo","p_rabid","a1","east africa",2306.66213165492,2526.14622244213,2413.0346033037,30758.3891285243,34517.1865506075,32590.2954658982,1240354.21491483,1389587.03534149,1315964.93812665,1237.65432889517,1415.82168991145,1329.40849574895,122.189745942475,139.779652970275,131.248348231722,45365.6434963064,49674.5119829624,47460.6047800448,24316.7798024541,27850.1981265929,26145.7569438559,2870.68545870068,3287.81851188513,3086.60294969956,10829.2897821253,12141.5875488138,11523.5353891929,4314.46744360725,5217.90883714003,4771.61234375624,0,0,0,FALSE,876.066685341149,1122.75859494787,989.88756453318,44.5366388158823,57.1451913711555,50.3318737702827,1.01935131952006e-06,1.30740031746901e-06,1.15364638615656e-06
"Congo","p_rabid","a3_1","east africa",1205.63424220992,1292.08986216887,1250.9157001682,29589.4869233994,29589.4869233994,29589.4869233994,1415423.84501797,1415423.84501797,1415423.84501797,2407.28949920915,2579.91011762356,2497.71273346313,237.664172823547,254.706467280125,246.59137629453,25251.55336679,27062.3316114988,26199.9661121145,45807.4191122561,49092.1542526544,47528.0487571596,5407.73461841728,5795.50970540774,5610.86128821322,25588.7890252779,25588.7890252779,25588.7890252779,17526.9121411092,17526.9121411092,17526.9121411092,0,0,0,FALSE,548.633006766052,587.974086823779,566.688004611107,28.8319766481105,30.8994453834938,29.7808111637394,9.40759446189934e-07,1.00821891769673e-06,9.76096497179199e-07
"Congo","p_rabid","a5_1","east africa",604.740226923298,648.1056497413,627.454587495605,12685.5937524921,12685.5937524921,12685.5937524921,702989.173112484,702989.173112484,702989.173112484,529.58739651444,567.562949072768,549.479824578579,52.2845094334228,56.0337171166936,54.2484267200094,14032.3723317321,15038.6220845007,14559.4360474088,12033.3968143877,12896.2854348034,12485.3967387816,1420.5868348716,1522.4540161032,1473.94709148585,10047.8264615961,10047.8264615961,10047.8264615961,6146.35963549621,6146.35963549621,6146.35963549621,0,0,0,FALSE,1238.61005067537,1327.42806520569,1279.37212917988,54.5109812175308,58.419844700206,56.3049126768146,5.27066623352407e-07,5.64861416787061e-07,5.46864365819566e-07
"Congo","p_transmission","a1","east africa",1963.4821910216,2925.20786569864,2421.43780273779,30668.4428543677,34703.6471878581,32512.2086559382,1244087.19865133,1396575.274757,1313608.51589602,1067.86201313836,1652.97663131148,1331.0640116218,105.426680972768,163.193219555171,131.411792142663,38621.739126991,57522.4634858155,47625.1418834188,21000.571308981,32549.5096380143,26179.0546285505,2479.19482640601,3842.58955193792,3090.53386407382,10899.5769829337,12199.8025149754,11506.4200440745,4343.90409857193,5247.42761093908,4749.68428389462,0,0,0,FALSE,752.634474731968,1307.82372401522,986.886058391357,38.2213806747606,66.5017753188338,50.1778438730717,8.75310900998231e-07,1.51655117799495e-06,1.15680116536965e-06
"Congo","p_transmission","a3_1","east africa",998.406277476184,1511.89876933047,1248.9281692163,29589.4869233994,29589.4869233994,29589.4869233994,1415423.84501797,1415423.84501797,1415423.84501797,1993.52886655865,3018.82335123952,2493.7441825092,196.814877988782,298.038999841296,246.199573655055,20911.252530241,31666.1627638806,26158.3379868151,37934.1205689588,57444.0688283035,47452.5326780948,4478.26271367223,6781.4839963871,5601.94633681626,25588.7890252779,25588.7890252779,25588.7890252779,17526.9121411092,17526.9121411092,17526.9121411092,0,0,0,FALSE,468.866071423756,710.009204662965,567.589833370066,24.6400346265265,37.3126837735683,29.8282044210332,7.79063387716139e-07,1.17974451556007e-06,9.74545602781656e-07
