"year","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2027,"p_rabid","a1",59720.8895585827,69259.8902475543,64467.253588213,4300692.73038824,4717777.25400544,4518973.4865015,54001489.7781556,59510770.4933012,56842090.5224496,49600.2551948878,58391.2883360766,53997.2490225062,4896.87826354186,5764.78950581307,5330.97972964907,1190201.6455346,1381252.6049747,1285282.88566859,995023.921263304,1171372.79895568,1083219.16979039,117640.870825404,138487.199401937,128066.944845904,1640649.17774242,1784629.61918268,1715373.18019656,1156403.90773075,1292346.56812931,1223390.47163396,0,0,0,924.821001847825,1199.80774815519,1052.68493398169,46.1010276372304,59.8083817098035,52.4751519431188,2.77930247608485e-07,3.55903560177471e-07,3.14784267621106e-07
2027,"p_rabid","a3_1",31393.2797609497,34875.1871576955,33168.3911421474,4526181.9809738,4526181.9809738,4526181.9809738,53508381.2028109,53508381.2028109,53508381.2028109,80048.8474837199,90298.4315764962,85246.2001762953,7902.97267069318,8914.88209247039,8416.09106752869,624195.339102975,693801.612063493,659664.660413199,1603253.37940091,1809536.04670659,1707819.99640628,189591.617525693,213964.772618412,201947.524465017,2904688.753187,2904688.753187,2904688.753187,2260960.85695631,2260960.85695631,2260960.85695631,0,0,0,592.572653462772,668.446615845323,627.692273581131,29.570221217863,33.374875044895,31.3313940083891,2.75584939680339e-07,3.10871281742051e-07,2.93477915948013e-07
2027,"p_rabid","a5_1",8842.32823301456,9706.44532746347,9284.06312564362,3215505.02991072,3215505.02991072,3215505.02991072,35743950.9390052,35743950.9390052,35743950.9390052,12749.8211224117,14213.2245495991,13494.976679064,1258.75001394791,1403.22726321265,1332.31689448089,175074.748301142,192248.257738372,183852.136942871,254109.929714617,283432.911674693,269037.658587269,30042.713235043,33507.9070048775,31806.8324427138,2035725.51136705,2035725.51136705,2035725.51136705,1588024.4045974,1588024.4045974,1588024.4045974,0,0,0,2514.83755950464,2803.4864643061,2648.68563978018,126.110798946418,140.663338025193,132.858541539124,6.26303548843861e-08,6.98189636580938e-08,6.62907479604244e-08
2027,"p_transmission","a1",51323.2139301696,78500.5372430723,64418.3513418545,4308474.59813892,4742969.96258211,4521471.60066546,54064255.669516,59768217.2332397,56860017.9687669,43257.4589045776,65765.2438433616,53882.6669144332,4270.67379822098,6492.7970996867,5319.66739602883,1023040.47104957,1565163.68303238,1284286.93993328,867903.775844737,1319100.31758817,1080925.55492397,102607.356702665,155955.94412585,127794.901991092,1640671.65471526,1791175.02113058,1715645.43259552,1156138.5377521,1297297.94333363,1224933.46107207,0,0,0,822.079452762089,1381.68581203726,1055.25619322187,40.9857043840051,68.8650273183417,52.6030841899804,2.41503250069185e-07,4.00843420768279e-07,3.14066449224981e-07
2027,"p_transmission","a3_1",26497.0041425456,40124.7425153419,33145.6986012077,4526181.9809738,4526181.9809738,4526181.9809738,53508381.2028109,53508381.2028109,53508381.2028109,68146.7538742289,103195.398924021,85246.0977915074,6727.91614612586,10188.1593935963,8416.08095939839,526990.658743974,798028.504800391,659224.482106764,1365274.06115181,2067449.92694271,1707847.83342104,161441.672809151,244472.948090786,201950.523378146,2904688.753187,2904688.753187,2904688.753187,2260960.85695631,2260960.85695631,2260960.85695631,0,0,0,518.515183435718,785.193397495728,627.693027470657,25.8813432458496,39.1924103191916,31.3308833232681,2.34609487159197e-07,3.55271795681365e-07,2.93477563466915e-07
2027,"p_transmission","a5_1",7410.75056545341,11222.1885603999,9270.26622359352,3215505.02991072,3215505.02991072,3215505.02991072,35743950.9390052,35743950.9390052,35743950.9390052,10780.5687024837,16325.1373814469,13485.6239905584,1064.33187370482,1611.7298203091,1331.39353275889,146757.012642081,222235.906894432,183581.484350476,214928.074819573,325468.019679629,268857.726964992,25409.7104642364,38478.2125494914,31785.5031498089,2035725.51136705,2035725.51136705,2035725.51136705,1588024.4045974,1588024.4045974,1588024.4045974,0,0,0,2189.50383716999,3315.59047815077,2650.52258345852,109.823235395568,166.306570088675,132.947456420546,5.29568875680307e-08,8.0193215098454e-08,6.6244805182514e-08
2027,"p_prevent","a1",61153.9200271303,67549.5164859013,64454.5253511508,4301039.59545157,4734172.87275882,4520570.15836376,54025826.4796296,59712841.1874629,56846002.2154822,50965.3392845497,57360.9357433207,54060.3304193002,5031.64875172397,5663.06601274986,5337.20755891287,1218867.93961177,1346943.51698823,1284988.33772314,1022589.19237665,1150664.76975311,1084544.37164174,120895.823305962,136040.227037715,128222.053982642,1640316.59127547,1793013.4416729,1716046.99701052,1149447.83615937,1291568.95399211,1223007.76487299,0,0,0,941.857481568728,1171.63629293379,1051.52894506149,46.9518385369717,58.3937730152234,52.4146394577024,2.84244044690477e-07,3.49694297115646e-07,3.15028262707708e-07
2027,"p_prevent","a3_1",32935.9448730869,33451.6081731373,33180.6990601361,4526181.9809738,4526181.9809738,4526181.9809738,53508381.2028109,53508381.2028109,53508381.2028109,85063.2475973137,85578.9108973641,85334.156710315,8398.02873087833,8448.9385577613,8424.77474139055,655024.869923109,665339.773958583,659920.633275223,1704192.9354063,1714507.83944177,1709612.07608966,201518.178223588,202738.203748488,202159.142160042,2904688.753187,2904688.753187,2904688.753187,2260960.85695631,2260960.85695631,2260960.85695631,0,0,0,625.251953334441,629.042303394266,627.045291892396,31.2091785011801,31.3980771138767,31.2985512626929,2.92848063338914e-07,2.94623342357998e-07,2.93780724756437e-07
2027,"p_prevent","a5_1",9236.33086583091,9327.71143596425,9279.99797419033,3215505.02991072,3215505.02991072,3215505.02991072,35743950.9390052,35743950.9390052,35743950.9390052,13451.8318164463,13543.2123865796,13499.5452782202,1328.05733696237,1337.07905521438,1332.76793800507,182905.580979613,184723.488384708,183774.20693325,268185.999499781,270003.906904876,269135.28095124,31706.0749949552,31921.0219227973,31818.3166834079,2035725.51136705,2035725.51136705,2035725.51136705,1588024.4045974,1588024.4045974,1588024.4045974,0,0,0,2639.25204144512,2657.18092723285,2647.78925529243,132.383087892124,133.280450902264,132.810350291759,6.60788094531122e-08,6.65276939889845e-08,6.63131900781399e-08
2028,"suspect_bite_incidence","a1",50417.728437653,85403.1860569846,67480.4833332844,4006726.42457882,5296402.49438684,4632048.70179834,48184397.8287193,65920189.7906673,56709686.2957733,42217.7966690783,71764.8001598871,56361.2454215471,4168.03119320942,7085.1145545436,5564.36970992376,975177.661801319,1652128.7495947,1305408.31992167,821873.37847913,1396836.58503002,1097113.85955701,97168.8675960213,165147.789739122,129710.00074108,1549319.19501394,1964464.74017114,1751398.90455587,1097552.8234311,1406802.46596195,1247717.87103518,0,0,0,671.421054909478,1561.43131550371,1006.18227776232,34.4953721466879,80.2072332755833,51.6898823233089,2.14907378105449e-07,4.63202162542375e-07,3.21807015380311e-07
