"cluster","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"americas","p_transmission","a3_1",14580.3668698323,22079.2246499731,18238.8925458262,359752.638622753,359752.638622753,359752.638622753,6104012.13225491,6104012.13225491,6104012.13225491,18165.6887645355,27508.5075306006,22723.8125766971,1793.44170919687,2715.82902264905,2243.45103537081,316947.943783233,479958.066619777,396476.927208981,361590.96739124,547561.283408577,452321.158366452,41736.6877571107,63202.3373757766,52209.2326801023,304964.54265309,304964.54265309,304964.54265309,241745.055229847,241745.055229847,241745.055229847,0,0,0,221.895430912229,336.018755543784,268.617429916425,11.1476328170198,16.8809862046426,13.4948631505531,5.95665601203997e-07,9.02023143126272e-07,7.45129659304244e-07
"americas","p_transmission","a5_1",3089.12899844906,4677.90432970893,3864.25527935458,123922.653542552,123922.653542552,123922.653542552,3240302.10206654,3240302.10206654,3240302.10206654,1402.86331812756,2124.37178069434,1754.86901247164,138.50031340095,209.732590199174,173.25273607506,77519.1945586567,117388.226759586,96970.3614213536,34723.5517077659,52582.2668845388,43436.3663015484,4007.57071545606,6068.70963806013,5013.14816626468,96218.2195052396,96218.2195052396,96218.2195052396,75228.1688221058,75228.1688221058,75228.1688221058,0,0,0,1525.29897615542,2309.77748166618,1846.46379817418,61.6234767736748,93.317127502883,74.5988299198736,1.45800174368345e-07,2.20786852180179e-07,1.82384274152576e-07
"americas","p_prevent","a1",30410.8126596682,31942.2906888079,31179.6779361204,337170.542763202,396000.827647485,365633.321357133,15934574.8046997,18607274.1651029,17263824.8149832,9062.99208821813,10594.4701173578,9825.60484090556,894.760899617739,1045.95894169473,970.051274585806,630138.243446861,661865.540945105,646097.806367151,187814.806471241,219542.103969484,203582.541049195,21678.0556401719,25340.0985913893,23498.0070999583,101949.786301341,119070.942937726,110488.581949452,66332.6356233461,79157.1869169667,72328.0787291147,0,0,0,1504.04641555341,2053.10497725054,1757.02413179809,72.5809515195071,99.0724560789733,84.8001244409827,7.61142211912947e-07,1.03918512257033e-06,8.89286898930494e-07
"americas","p_prevent","a3_1",18198.4901352716,18324.6116625487,18257.9412228455,359752.638622753,359752.638622753,359752.638622753,6104012.13225491,6104012.13225491,6104012.13225491,22680.6711144773,22806.7926417544,22747.3415541805,2239.19181356294,2251.64339799656,2245.77397782239,395705.162759284,398222.031965111,396890.859569355,451458.315451235,453975.184657062,452789.48784699,52109.6319912487,52400.1563553087,52263.2896776393,304964.54265309,304964.54265309,304964.54265309,241745.055229847,241745.055229847,241745.055229847,0,0,0,267.640094253313,269.128373734879,268.339582351465,13.4456955766557,13.5206550047792,13.4809051360256,7.43715020676273e-07,7.4785063349801e-07,7.45901190882264e-07
"americas","p_prevent","a5_1",3863.29315458654,3874.01374491922,3868.2811720009,123922.653542552,123922.653542552,123922.653542552,3240302.10206654,3240302.10206654,3240302.10206654,1750.95120445119,1761.67179478387,1756.68377736951,172.865943126906,173.924353523509,173.43190214481,96947.4872108332,97213.7393680454,97071.3866399918,43338.9305997586,43605.1827569707,43481.2833278122,5001.90238901295,5032.63219171791,5018.33220297755,96218.2195052396,96218.2195052396,96218.2195052396,75228.1688221058,75228.1688221058,75228.1688221058,0,0,0,1839.33358736897,1850.59531860693,1844.55628486455,74.3100222770778,74.7665449337274,74.5217678520985,1.819770947181e-07,1.83091290177942e-07,1.82572883431277e-07
"asia","suspect_bite_incidence","a1",427225.515344831,498103.388803953,462080.824338707,56893130.8123822,62903994.5286414,59793731.348772,625964982.218596,693015286.355783,658703360.133827,521378.524918085,601546.651740846,560165.755841802,51474.0731820274,59388.821929282,55303.4153349465,8577089.85891448,9999361.26916517,9271966.01255901,10445826.3648045,12097965.641756,11243030.9204269,1233086.28706344,1428098.08010619,1327185.11657299,23164119.6255572,25435542.1887902,24291457.6408066,17160789.5587291,19392936.081503,18261582.7769147,0,0,0,1040.5925798225,1329.19798809256,1175.9079402202,51.741342367355,66.3437493744665,58.5877033333656,2.04980307102659e-07,2.59688976513984e-07,2.30601952392019e-07
"asia","suspect_bite_incidence","a3_1",220712.948525584,251229.749163804,236372.618026039,60670332.7567129,62995496.7579897,61863836.8368298,669493938.427234,700690985.102051,685644006.990665,731982.095913028,834237.757778758,783337.434952838,72266.3059029536,82361.6879921568,77336.4581123073,4612331.7394094,5290787.63629986,4957818.94048417,14491223.0537044,16471811.6025992,15508413.6853973,1710518.92020988,1944305.99526384,1830587.93899176,36969645.6813635,38417014.1433619,37696611.2403569,29436918.2340638,30602727.903397,30021193.6643881,0,0,0,802.521741775185,957.251535268842,875.285638598321,40.6448273316572,48.3527844754921,44.2110986268225,1.90535915462214e-07,2.256547885173e-07,2.07800491656454e-07
"asia","suspect_bite_incidence","a5_1",88456.438797721,145130.752561309,111330.629574505,48198511.0027701,51627053.9614237,49657080.0726064,521844806.665082,572919137.029707,543156416.888776,156767.750137709,313346.162906652,220765.121657187,15477.1902897958,30935.6878925893,21795.4508770889,2113851.33993792,3392829.67083336,2625110.12786519,3684593.98982257,7126934.05458891,5092717.07279252,435078.260884503,841450.602215003,601313.323250802,28794895.045102,30996247.8709367,29694315.5544562,22855103.2584662,24615054.9658626,23570721.327883,0,0,0,1665.39395863144,3654.57268173102,2460.33618359431,73.2215006716774,155.490439004189,106.653562160472,5.0576363561959e-08,1.08820039946612e-07,7.43459202662297e-08
"asia","non_suspect_bite_incidence","a1",429194.078246261,470548.042600489,449956.411103716,52875591.1521005,65384780.3436304,59260796.0785607,586711060.841847,714537971.019627,652238455.689461,523464.69589183,564818.660246058,544056.327388603,51680.0343258809,55762.7820529203,53712.9817833328,8606665.63683678,9448359.92353208,9030849.79493465,10505085.3401565,11346779.6268518,10922595.4687539,1240064.75485853,1339430.08941773,1289354.01218166,21291170.1327058,26793406.4829773,24117869.5952511,16004698.9396595,20279605.4890477,18142807.9568967,0,0,0,1038.7600519187,1365.01654577156,1198.84361757195,51.7072755562658,68.0182928441573,59.7146033243938,1.95370714143573e-07,2.65283052422952e-07,2.25582249393922e-07
"asia","non_suspect_bite_incidence","a3_1",230377.183712077,230380.857269777,230379.013881425,54740453.7908747,68103795.6581618,61517432.6098539,611116217.385309,749040890.07076,681062237.975568,763631.881222542,763635.554780241,763633.724610894,75390.9903449783,75391.3530238552,75391.1723369523,4833049.76753548,4833122.43232606,4833085.96919154,15120322.8313625,15120395.4961531,15120359.294497,1784766.51459303,1784775.09166683,1784770.81856189,33347420.4934248,41503740.9653359,37483751.9311664,26558674.4717349,33051722.1733807,29851506.996838,0,0,0,800.272084713467,980.892637525267,891.87029858143,40.4166820597244,49.5386836924608,45.0427284636971,1.83991096576169e-07,2.28993890226325e-07,2.03723929774479e-07
