"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG"
"Colombia","COL",49464683,49849818,50220412,50576195,50917275,51243819,51556137,51854482,52138832,52409061,52665091,52906801,53134127,53347083,53545678,53729852,53899499,54054587,54195144,54321271,54433151,54531025,54615100,54685589,54742631,54786301,54816629,54833764,54837879,54829331,54808597,54776226,54732755,54678525,54613824,54539075,54454679,54361020,54258441,54147271,54027841,53900469,53765455,53623078,53473607,53317282,53154335,52985003,52809518,52628051,52440712,52247516,52048553,"COL","Americas",1,48228704,0.71,76,4915212,1515282,6430494,7.5,7.5,"II","endemic",FALSE,FALSE,0.76708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,6.61045292130539,4.84693584459815,FALSE,32.1065373218035,126.723959885801
"Comoros","COM",832347,850910,869601,888407,907306,926312,945406,964591,983860,1003211,1022641,1042164,1061775,1081470,1101260,1121119,1141054,1161071,1181144,1201284,1221477,1241703,1261942,1282209,1302467,1322720,1342933,1363098,1383200,1403227,1423170,1443013,1462735,1482329,1501786,1521104,1540271,1559288,1578140,1596830,1615345,1633672,1651809,1669746,1687489,1705017,1722363,1739525,1756494,1773254,1789804,1806118,1822178,"COM","Africa",0,788474,0.433,28,10524,76401,86925,7.4,21.2,NA,"free",TRUE,TRUE,0.28412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,4.54671858885608,3.33533088108342,FALSE,NA,NA
"Congo","COG",5399895,5542197,5686917,5834089,5984189,6137528,6294495,6455373,6620218,6788982,6961681,7138328,7318887,7503338,7691584,7883415,8078586,8276845,8478096,8682197,8888864,9097765,9308628,9521302,9735722,9951830,10169580,10388945,10609847,10832271,11056291,11282052,11509651,11739090,11970350,12203432,12438366,12675151,12913740,13154112,13396242,13640111,13885679,14132883,14381604,14631675,14882852,15134958,15387848,15641402,15895465,16149866,16404435,"COG","Africa",1,4620330,0.533,65,142489,216157,358646,7.4,21.2,"II","east africa",TRUE,FALSE,0.65798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,25.2452026355,18.5177362618968,FALSE,NA,NA
"Cook Islands","COK",17411,17462,17515,17550,17589,17630,17667,17707,17745,17781,17803,17838,17861,17884,17903,17912,17931,17934,17944,17938,17945,17941,17949,17952,17953,17959,17956,17955,17955,17951,17940,17939,17945,17939,17940,17946,17946,17948,17938,17926,17900,17881,17855,17825,17797,17766,17736,17701,17667,17626,17589,17545,17504,"COK","Oceania",0,18027,0.908,100,2404,0,2404,14.3,7.5,NA,"free",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,6.23920305625307,4.57524892883093,FALSE,NA,NA
"Costa Rica","CRI",4953199,4999384,5044179,5087543,5129516,5170112,5209374,5247337,5284011,5319366,5353387,5386063,5417379,5447328,5475941,5503214,5529210,5553946,5577430,5599667,5620650,5640391,5658897,5676163,5692196,5706980,5720467,5732641,5743508,5753074,5761350,5768346,5774070,5778541,5781784,5783794,5784591,5784184,5782598,5779864,5776036,5771204,5765414,5758710,5751100,5742622,5733276,5723098,5712101,5700310,5687714,5674296,5660054,"CRI","Americas",0,4807850,0.744,77,492458,148588,641047,7.5,7.5,NA,"free",FALSE,FALSE,0.77675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,31.7493462690293,23.279349588995,FALSE,40.9830162787497,NA
"Croatia","HRV",4164783,4140148,4115947,4092378,4069421,4046983,4024852,4002885,3981097,3959537,3938168,3916938,3895784,3874691,3853647,3832582,3811426,3790127,3768660,3747021,3725251,3703422,3681556,3659693,3637797,3615871,3593893,3571860,3549762,3527624,3505433,3483189,3460901,3438574,3416208,3393815,3371405,3348988,3326580,3304180,3281802,3259474,3237205,3215005,3192895,3170881,3148961,3127150,3105456,3083906,3062500,3041280,3020253,"HRV","Europe",1,4224404,0.796,59,383212,266696,649908,6.5,6.5,NA,"endemic",FALSE,FALSE,0.59284,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,31.2071919715116,22.8747747983338,FALSE,42.470861574042,NA
"Cuba","CUB",11489082,11492046,11495492,11499731,11504042,11508091,11511251,11513023,11513391,11512406,11509562,11504248,11496000,11484603,11470131,11452767,11432859,11410652,11386169,11359359,11330341,11299210,11266074,11230978,11193932,11154901,11113815,11070604,11025328,10977998,10928575,10876966,10823142,10767137,10709058,10649031,10587230,10523816,10458975,10392837,10325507,10257079,10187700,10117480,10046706,9975883,9905653,9836515,9768706,9702320,9637454,9574144,9512440,"CUB","Americas",1,11389562,0.776,77,1170452,348156,1518608,7.5,7.5,"II","americas",TRUE,FALSE,0.77184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,3.61610403937824,2.65108844651042,FALSE,NA,130.718094034208
"Cyprus","CYP",1189085,1198427,1207343,1215850,1224028,1231937,1239630,1247140,1254485,1261654,1268658,1275508,1282204,1288744,1295147,1301408,1307545,1313542,1319414,1325161,1330757,1336202,1341465,1346541,1351436,1356134,1360634,1364924,1368992,1372838,1376451,1379785,1382839,1385596,1388062,1390255,1392201,1393909,1395382,1396624,1397659,1398476,1399097,1399532,1399775,1399829,1399711,1399397,1398925,1398282,1397465,1396491,1395354,"CYP","Europe",0,1165300,0.84,67,119974,59303,179277,6.5,6.5,NA,"free",FALSE,FALSE,0.6684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,18.7769688114024,13.7634598284176,FALSE,NA,NA
"Czechia","CZE",10625250,10630589,10633424,10633850,10632288,10628469,10622091,10612937,10601013,10586452,10569339,10549862,10528196,10504439,10478832,10451919,10424374,10396773,10369331,10342163,10315532,10289698,10264847,10241094,10218417,10196684,10175660,10155117,10134980,10115144,10095316,10075141,10054302,10032670,10010124,9986446,9961394,9934787,9906573,9876757,9845284,9812157,9777427,9741143,9703469,9664710,9625258,9585480,9545559,9505687,9466256,9427714,9390433,"CZE","Europe",1,10551219,0.865,73,1184853,438411,1623264,6.5,6.5,NA,"endemic",FALSE,FALSE,0.7298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.1429981638893,27.2257022969516,NA,24.1561972346309,100.650821810962
"Dem. People's Republic of Korea","PRK",25610672,25727408,25840863,25950762,26056854,26158991,26257063,26350877,26440287,26524975,26604290,26677453,26743895,26803384,26855925,26901502,26940153,26971999,26997036,27015392,27027443,27033684,27034528,27030232,27020983,27007159,26989131,26967265,26941830,26913047,26881134,26846286,26808680,26768513,26725991,26681309,26634672,26586250,26536214,26484692,26431705,26377256,26321376,26264127,26205636,26146050,26085576,26024364,25962497,25900018,25836884,25773044,25708449,"PRK","Asia",1,25155317,0.766,61,2041773,688253,2730026,14.3,7.5,"III","asia",TRUE,TRUE,0.61048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,4.61613188838984,3.38405639773165,FALSE,NA,NA
"Democratic Republic of the Congo","COD",84004989,86727573,89505201,92336045,95220379,98160404,101159625,104220558,107343095,110526199,113770328,117075937,120442943,123870684,127357745,130902180,134501533,138153309,141855797,145606856,149402912,153239842,157114000,161022796,164964224,168935876,172935478,176960865,181009643,185079729,189169665,193278289,197404202,201545747,205700770,209866710,214040750,218220444,222403206,226587511,230773102,234960366,239148828,243337060,247521949,251699336,255864141,260011999,264140161,268246746,272329389,276385914,280414206,"COD","Africa",1,77266814,0.286,42,1548762,6004467,7553229,7.4,21.2,"III","east africa",TRUE,TRUE,0.43015,0.6591,44,"lab_testing","overall",NA,NA,NA,NA,NA,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,4.9254248708423,3.61287330683649,FALSE,33.9877401396264,114.896184666364
"Denmark","DNK",5754356,5775224,5796800,5819262,5842422,5866015,5889673,5913085,5936212,5959089,5981545,6003398,6024516,6044817,6064297,6082947,6100784,6117850,6134128,6149657,6164478,6178666,6192283,6205391,6218025,6230305,6242385,6254378,6266360,6278350,6290362,6302373,6314402,6326476,6338616,6350814,6363059,6375329,6387630,6399976,6412389,6424944,6437647,6450510,6463515,6476637,6489848,6503115,6516418,6529725,6543013,6556236,6569355,"DNK","Europe",0,5676002,0.895,88,765614,107617,873231,6.5,6.5,NA,"free",FALSE,FALSE,0.87847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,59.5301750337219,43.6354334222015,FALSE,NA,NA
"Djibouti","DJI",971408,985690,999899,1014025,1028031,1041880,1055552,1069009,1082248,1095262,1108021,1120511,1132710,1144609,1156203,1167462,1178401,1189001,1199256,1209170,1218739,1227967,1236850,1245401,1253614,1261491,1269036,1276268,1283179,1289766,1296038,1301978,1307615,1312919,1317902,1322563,1326904,1330906,1334592,1337932,1340951,1343630,1345960,1347944,1349591,1350894,1351881,1352536,1352880,1352927,1352664,1352125,1351296,"DJI","Africa",1,887861,0.43,77,32391,27184,59576,7.4,21.2,"II","east africa",TRUE,TRUE,0.7743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.66150380613322,4.15397632396164,FALSE,NA,NA
"Dominica","DMA",74308,74679,75052,75401,75748,76070,76369,76643,76884,77106,77295,77453,77593,77694,77778,77832,77868,77883,77884,77866,77848,77811,77766,77709,77645,77577,77489,77396,77287,77163,77034,76884,76725,76541,76347,76141,75911,75668,75407,75130,74841,74533,74216,73880,73533,73183,72816,72445,72054,71665,71265,70847,70447,"DMA","Americas",0,72680,0.724,70,6739,2952,9691,7.5,7.5,NA,"free",FALSE,FALSE,0.6982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,23.1362228029883,16.9640097252811,FALSE,NA,NA
"Dominican Republic","DOM",10882996,10996774,11108358,11217656,11324614,11429275,11531725,11631994,11730102,11825969,11919438,12010267,12098320,12183473,12265750,12345299,12422304,12496897,12569110,12638824,12705838,12769880,12830731,12888356,12942757,12993954,13041949,13086762,13128379,13166855,13202295,13234877,13264741,13291955,13316538,13338523,13357936,13374780,13389108,13400976,13410451,13417615,13422524,13425223,13425757,13424122,13420352,13414455,13406462,13396406,13384305,13370168,13354004,"DOM","Americas",1,10528391,0.689,79,1108710,295076,1403785,7.5,7.5,NA,"endemic",FALSE,FALSE,0.79841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,7.53996048603853,5.52847213151719,FALSE,NA,NA
"Ecuador","ECU",16863425,17100444,17335642,17568798,17799780,18028434,18254667,18478364,18699380,18917584,19132925,19345363,19554856,19761328,19964652,20164669,20361220,20554156,20743359,20928791,21110367,21288034,21461740,21631425,21797038,21958497,22115727,22268680,22417298,22561555,22701478,22837111,22968451,23095520,23218266,23336670,23450699,23560315,23665540,23766347,23862704,23954542,24041840,24124590,24202801,24276521,24345816,24410731,24471308,24527551,24579457,24627010,24670209,"ECU","Americas",1,16144363,0.72,64,1372099,780483,2152582,7.5,7.5,"II","endemic",FALSE,FALSE,0.63976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,7.42716214998736,5.44377225674947,FALSE,51.6429375352322,NA
"Egypt","EGY",99375741,101168745,102941484,104692187,106416061,108116982,109800309,111470930,113130458,114781107,116429178,118082119,119745677,121421618,123110062,124812705,126530788,128264287,130013689,131776462,133545421,135311042,137065513,138805578,140529930,142235097,143917867,145575547,147205904,148807449,150379368,151921405,153433492,154915089,156366037,157787287,159180298,160546412,161885864,163199201,164488575,165756609,167005245,168235450,169447086,170639679,171812229,172963944,174094819,175205055,176294186,177361668,178407025,"EGY","Africa",1,91508084,0.644,43,1861887,7031902,8893789,7.4,21.2,"II","endemic",FALSE,FALSE,0.43222,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,9.35087870758428,6.86095604373363,FALSE,23.6793402880767,NA
"El Salvador","SLV",6411558,6445405,6479066,6512324,6545173,6577561,6609535,6641077,6672171,6702612,6731997,6759778,6785583,6809174,6830667,6850432,6869026,6886840,6904012,6920362,6935627,6949436,6961520,6971811,6980404,6987377,6992860,6996962,6999686,7001019,7001030,6999809,6997410,6993870,6989179,6983296,6976177,6967763,6958062,6947074,6934767,6921094,6906033,6889562,6871704,6852455,6831846,6809916,6786661,6762082,6736184,6708992,6680505,"SLV","Americas",1,6126583,0.674,67,545070,271808,816878,7.5,7.5,"II","endemic",FALSE,FALSE,0.67189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,45.5128191435958,33.3710438834522,FALSE,48.0804652579773,NA
"Equatorial Guinea","GNQ",1313894,1360104,1406280,1452350,1498287,1544203,1590279,1636622,1683298,1730260,1777358,1824393,1871220,1917787,1964178,2010610,2057392,2104728,2152689,2201208,2250162,2299375,2348714,2398149,2447695,2497320,2546981,2596652,2646294,2695886,2745462,2795078,2844744,2894470,2944196,2993886,3043453,3092849,3142031,3190988,3239660,3287993,3335951,3383481,3430556,3477168,3523281,3568873,3613926,3658407,3702286,3745520,3788094,"GNQ","Africa",1,845060,0.537,40,15914,68606,84520,7.4,21.2,"III","west africa",FALSE,FALSE,0.40103,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,19.8591547584855,14.5680562512107,FALSE,NA,NA
"Eritrea","ERI",5187948,5309659,5432216,5555141,5678798,5803376,5929298,6056880,6186016,6316482,6448451,6582129,6717687,6855107,6994250,7135034,7277273,7420805,7565543,7711344,7857969,8005125,8152540,8300073,8447599,8594901,8741756,8887988,9033461,9178086,9321828,9464689,9606664,9747675,9887684,10026695,10164756,10301880,10438046,10573202,10707355,10840490,10972592,11103618,11233513,11362223,11489663,11615750,11740447,11863684,11985320,12105203,12223199,"ERI","Africa",1,5222000,0.349,38,92863,439636,532499,7.4,21.2,"II","east africa",TRUE,TRUE,0.20954,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,9.73856510920995,7.14338414200178,FALSE,NA,NA
"Estonia","EST",1306788,1303798,1300559,1297038,1293233,1289139,1284758,1280134,1275230,1270080,1264718,1259199,1253590,1247907,1242160,1236396,1230662,1225001,1219434,1213952,1208550,1203224,1197944,1192713,1187539,1182371,1177191,1171949,1166655,1161291,1155854,1150337,1144747,1139057,1133283,1127422,1121474,1115451,1109354,1103177,1096946,1090654,1084309,1077928,1071509,1065082,1058661,1052261,1045889,1039568,1033297,1027095,1020969,"EST","Europe",1,1311998,0.835,68,136323,65523,201846,6.5,6.5,NA,"endemic",FALSE,FALSE,0.67468,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,37.5174156070509,27.492178050239,FALSE,32.3123315730328,NA
"Ethiopia","ETH",107534882,110135635,112759070,115403326,118065225,120741324,123427617,126120682,128817980,131517867,134218920,136920107,139620178,142317586,145010282,147695897,150371875,153036024,155686416,158322006,160942553,163548404,166139393,168714421,171271652,173809294,176325273,178817639,181284897,183725643,186137980,188519926,190869632,193185551,195466255,197710275,199916172,202082564,204208147,206291692,208332018,210328007,212278592,214182834,216039798,217848514,219608052,221317582,222976385,224583933,226139950,227644312,229096851,"ETH","Africa",1,99390750,0.363,19,912895,10815863,11728757,7.4,21.2,"I","east africa",TRUE,TRUE,0.19922,0.736,632,"suspected","mixed",0.7742,465,NA,NA,0.5742,465,TRUE,FALSE,NA,FALSE,0,NA,NA,3.91514669948763,2.87181905691246,FALSE,0.1353,NA
"Fiji","FJI",912241,918757,924915,930655,936021,941061,945843,950430,954819,958985,962953,966711,970270,973640,976826,979803,982586,985150,987513,989652,991583,993298,994801,996089,997158,998019,998661,999087,999293,999277,999088,998711,998190,997526,996715,995770,994678,993452,992073,990562,988922,987158,985264,983240,981109,978862,976511,974052,971501,968867,966132,963317,960421,"FJI","Oceania",0,892145,0.688,54,63911,28868,92779,14.3,7.5,NA,"free",FALSE,FALSE,0.54099,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,6.88492715089882,5.04876268569466,FALSE,NA,NA
"Finland","FIN",5542517,5561389,5580127,5598770,5617163,5635162,5652535,5669119,5684877,5699824,5713891,5726992,5739095,5750172,5760268,5769430,5777716,5785214,5791952,5798018,5803536,5808657,5813529,5818217,5822791,5827357,5832073,5837028,5842305,5847919,5853826,5859994,5866350,5872906,5879682,5886658,5893822,5901156,5908636,5916254,5924009,5931886,5939874,5947958,5956108,5964293,5972455,5980556,5988586,5996497,6004264,6011795,6019077,"FIN","Europe",0,5482013,0.882,84,710309,133078,843387,6.5,6.5,NA,"free",FALSE,FALSE,0.84358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,49.5186349934822,36.2970056611331,FALSE,NA,NA
"France","FRA",65233271,65480710,65721165,65954741,66182378,66405223,66624723,66841951,67057171,67270163,67480850,67689001,67894271,68096621,68295673,68490279,68678970,68860560,69034688,69201204,69359408,69508594,69648311,69778363,69899000,70010835,70114775,70211636,70301774,70385563,70463968,70538132,70608998,70677250,70743274,70807346,70869589,70930256,70989694,71048444,71107175,71166642,71227445,71289926,71354276,71420764,71489622,71561003,71635042,71711723,71790922,71872375,71955834,"FRA","Europe",0,66808385,0.884,80,8173235,2104978,10278213,6.5,6.5,NA,"free",FALSE,FALSE,0.7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,43.2719766766374,31.7182245173619,FALSE,NA,NA
"French Guiana","GUF",289763,296847,303982,311201,318472,325814,333234,340733,348323,355988,363740,371567,379463,387423,395445,403530,411650,419826,428020,436246,444482,452729,460974,469201,477421,485621,493795,501940,510055,518142,526196,534205,542161,550082,557946,565773,573557,581320,589050,596745,604412,612063,619685,627283,634862,642419,649946,657446,664901,672322,679705,687044,694341,"GUF","Americas",0,276000,0.816,84,31059,5741,36800,7.5,7.5,NA,"free",FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.009936500722,23.4659880521246,NA,NA,NA
"Gabon","GAB",2067561,2109099,2151289,2194488,2238282,2282534,2326901,2371137,2415315,2459617,2504065,2548693,2593514,2638542,2683764,2729214,2774890,2820808,2866951,2913301,2959830,3006498,3053264,3100094,3146962,3193804,3240543,3287137,3333540,3379697,3425558,3471063,3516141,3560758,3604886,3648482,3691507,3733944,3775764,3816942,3857494,3897426,3936753,3975451,4013545,4051034,4087941,4124301,4160094,4195328,4230012,4264168,4297786,"GAB","Africa",1,1725292,0.674,87,70929,29945,100875,7.4,21.2,"III","endemic",FALSE,FALSE,0.87366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,38.3060155002982,28.1000976757891,FALSE,NA,NA
"Gambia","GMB",2163765,2228075,2293493,2359954,2427423,2495903,2565346,2635740,2707043,2779225,2852248,2926075,3000667,3075997,3151996,3228620,3305795,3383475,3461606,3540115,3618924,3697953,3777102,3856320,3935557,4014728,4093762,4172601,4251178,4329458,4407399,4484972,4562152,4638898,4715155,4790919,4866138,4940793,5014835,5088254,5160997,5233040,5304345,5374891,5444629,5513532,5581573,5648736,5714972,5780241,5844490,5907669,5969719,"GMB","Africa",1,1990924,0.42,60,56001,108608,164609,7.4,21.2,"II","west africa",TRUE,TRUE,0.60224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,2.96305705666479,2.17360619666179,FALSE,NA,NA
"Georgia","GEO",3907131,3904204,3898529,3888720,3875910,3860783,3844853,3829218,3813765,3797879,3781626,3765090,3748350,3731428,3714369,3697215,3680013,3662822,3645651,3628501,3611354,3594175,3576930,3559615,3542228,3524684,3506900,3488799,3470363,3451615,3432545,3413224,3393665,3373875,3353882,3333720,3313411,3292996,3272498,3251961,3231422,3210933,3190547,3170278,3150162,3130223,3110502,3091026,3071823,3052884,3034212,3015801,2997646,"GEO","Europe",1,3679000,0.733,54,303608,262392,566000,6.5,6.5,"I","asia",TRUE,FALSE,0.53826,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,6.79088328789793,4.97716911803004,FALSE,NA,NA
"Germany","DEU",82293457,82438639,82540450,82590869,82591766,82556732,82506139,82455044,82407574,82359998,82310176,82253517,82186736,82110139,82025793,81934057,81835396,81730117,81618342,81499881,81374310,81241016,81099557,80949943,80792260,80626348,80452010,80269191,80078254,79879592,79673303,79459474,79238486,79010818,78777564,78540532,78301963,78063809,77826955,77592211,77361376,77136415,76918850,76709335,76507989,76314983,76130217,75953380,75784532,75623098,75467311,75314850,75163796,"DEU","Europe",0,81413145,0.905,75,9431525,3093574,12525099,6.5,6.5,NA,"free",FALSE,FALSE,0.7551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,42.8360158432856,31.3986665785232,FALSE,NA,NA
"Ghana","GHA",29463643,30096970,30733755,31374052,32017825,32665069,33315708,33969758,34627161,35287968,35952490,36621087,37294019,37971309,38652767,39338139,40027113,40719336,41414511,42112439,42813023,43516217,44221824,44929545,45638788,46348729,47058334,47766708,48473345,49177795,49879254,50576874,51269943,51957995,52640729,53317970,53989616,54655603,55315682,55969713,56617789,57260151,57896929,58528042,59153361,59772916,60386781,60994934,61597278,62193611,62783647,63367021,63943441,"GHA","Africa",1,27409893,0.541,54,698720,1702303,2401022,7.4,21.2,"I","west africa",TRUE,TRUE,0.54682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,TRUE,FALSE,FALSE,0,NA,NA,8.03452710370816,5.89387837350684,FALSE,16,NA
"Greece","GRC",11142161,11124603,11102572,11075319,11044663,11011602,10977842,10944624,10912058,10879692,10847537,10815536,10783625,10751812,10720084,10688329,10656384,10624074,10591302,10557942,10523758,10488487,10451869,10413781,10374132,10332689,10289221,10243564,10195638,10145435,10092986,10038342,9981568,9922741,9861949,9799382,9735242,9669776,9603125,9535445,9467039,9398232,9329295,9260454,9191847,9123649,9056007,8989058,8922938,8857808,8793859,8731337,8670399,"GRC","Europe",0,10823732,0.861,78,1298964,366225,1665190,6.5,6.5,NA,"free",FALSE,FALSE,0.78329,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,35.5926303369353,26.0892874955632,FALSE,NA,NA
"Grenada","GRD",108339,108825,109308,109761,110170,110556,110894,111186,111437,111630,111785,111914,112024,112112,112180,112225,112250,112255,112245,112207,112148,112070,111972,111851,111715,111555,111360,111145,110895,110610,110298,109959,109581,109182,108743,108281,107785,107255,106693,106098,105470,104824,104156,103452,102720,101985,101215,100433,99628,98802,97976,97124,96263,"GRD","Americas",0,106825,0.748,36,5069,9174,14243,7.5,7.5,NA,"free",FALSE,FALSE,0.35616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,24.3294556714027,17.8389154610738,FALSE,NA,NA
"Guatemala","GTM",17245346,17577842,17910812,18243996,18577064,18909715,19241632,19572502,19902106,20230192,20556505,20880765,21202726,21522173,21838956,22152942,22464076,22772247,23077355,23379242,23677797,23972907,24264472,24552386,24836548,25116922,25393483,25666201,25934980,26199720,26460275,26716505,26968287,27215465,27457962,27695660,27928513,28156409,28379256,28596867,28809025,29015426,29215834,29410087,29598095,29779764,29955021,30123785,30285991,30441542,30590325,30732198,30867068,"GTM","Americas",1,16342897,0.574,52,1123759,1055294,2179053,7.5,7.5,"I","endemic",FALSE,FALSE,0.5203,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,7.55107715770059,5.53459632693859,FALSE,30.0463767568832,NA
"Guinea","GIN",13052608,13398180,13750826,14109660,14475131,14847144,15225927,15611600,16003772,16401917,16805925,17215775,17631380,18052550,18479052,18910686,19347252,19788558,20234399,20684604,21139017,21597512,22059928,22526069,22995714,23468655,23944696,24423594,24905139,25389111,25875196,26363034,26852336,27342813,27834255,28326505,28819424,29312851,29806555,30300278,30793678,31286402,31778122,32268570,32757533,33244813,33730182,34213447,34694393,35172791,35648406,36120999,36590364,"GIN","Africa",1,12608590,0.344,37,221013,1070691,1291704,7.4,21.2,"II","west africa",TRUE,TRUE,0.37651,NA,NA,"clinical_observation","urban",NA,NA,0.3295,7994,0.49,2634,TRUE,FALSE,NA,FALSE,0,NA,NA,5.74297494043373,4.21286721191614,FALSE,NA,NA
"Guinea Bissau","GNB",1907268,1953723,2000694,2048139,2096009,2144247,2192880,2241865,2291199,2340894,2390982,2441532,2492580,2544120,2596172,2648734,2701825,2755473,2809661,2864364,2919552,2975168,3031196,3087557,3144247,3201208,3258368,3315680,3373081,3430548,3488019,3545439,3602736,3659886,3716858,3773621,3830143,3886400,3942353,3998013,4053357,4108398,4163165,4217629,4271767,4325567,4379008,4432079,4484733,4536978,4588819,4640242,4691250,"GNB","Africa",1,1844325,0.353,49,42917,126281,169199,7.4,21.2,"II","west africa",TRUE,TRUE,0.50094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,2.37954976714194,1.74556345812875,FALSE,NA,NA
"Guyana","GUY",782225,786508,790782,795022,799146,803119,806914,810501,813861,816988,819881,822554,824982,827197,829166,830889,832333,833489,834352,834928,835233,835288,835119,834730,834125,833307,832264,831011,829552,827883,826057,824047,821906,819622,817215,814676,811998,809183,806227,803140,799917,796576,793109,789507,785795,781956,777991,773916,769732,765430,761006,756464,751791,"GUY","Americas",1,767085,0.633,29,29203,73075,102278,7.5,7.5,NA,"americas",TRUE,FALSE,0.28661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,FALSE,NA,NA,NA,3.09369479537646,2.26836804977145,FALSE,NA,NA
