"country","CODE","pop2018","pop2019","pop2020","pop2021","pop2022","pop2023","pop2024","pop2025","pop2026","pop2027","pop2028","pop2029","pop2030","pop2031","pop2032","pop2033","pop2034","pop2035","pop2036","pop2037","pop2038","pop2039","pop2040","pop2041","pop2042","pop2043","pop2044","pop2045","pop2046","pop2047","pop2048","pop2049","pop2050","pop2051","pop2052","pop2053","pop2054","pop2055","pop2056","pop2057","pop2058","pop2059","pop2060","pop2061","pop2062","pop2063","pop2064","pop2065","pop2066","pop2067","pop2068","pop2069","pop2070","Country.code","Continent","endemic","pop2015","HDI","Percent.Urban","urban_dogs_Knoble","rural_dogs_Knoble","total_dogs_Knoble","rural_HDR","urban_HDR","Business.Plan.Phase","cluster","gavi","gavi_2018","prop_urban","p_rabid","p_rabid_n","p_rabid_source","p_rabid_setting","p_seek","p_seek_n","p_receive","p_receive_n","p_complete","p_complete_n","vaccine_paid_by_patient","RIG_usage","RIG_paid_by_patient","ID","ID_prop","tot_dog_pop","dog_pop_setting","cost_first_visit","cost_followup_visit","ID_2015","price_per_vial","price_per_vial_RIG","exp_inc","bite_inc","LCI_exp_inc","UCI_exp_inc","LCI_bite_inc","UCI_bite_inc","vaccine_free_SQ","vaccine_gavi","preds_SQ","preds_SQ_LCI","preds_SQ_UCI","preds_gavi","preds_gavi_LCI","preds_gavi_UCI","p_seek_SQ","pseek_gavi","pseek_norm_SQ","pseek_norm_gavi"
"Mexico","MEX",130759074,132328035,133870027,135384210,136869035,138322966,139744251,141131503,142483838,143800923,145082590,146328968,147540127,148715786,149855622,150959640,152027945,153060606,154057506,155018610,155944137,156834427,157689665,158509924,159295037,160044704,160758548,161436237,162077571,162682510,163251082,163783345,164279302,164739025,165162280,165548426,165896569,166206147,166477093,166709750,166904471,167061775,167182207,167266248,167314374,167327186,167305355,167249641,167160826,167039844,166887862,166706162,166496007,"MEX","Americas",1,127017224,0.77,79,13420809,3514821,16935630,7.5,7.5,"II","endemic",FALSE,FALSE,0.79517,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,31.812385867681,23.3255716709065,FALSE,26.4317334198801,93.9663085994578,0.000496867088899807,0.0261508994157793,0.000377190224410956,0.000821045410258925,0.00435848323596322,0.0435848323596322,TRUE,TRUE,0.00382005527262594,0.000814912027438809,0.0179072363575012,0.00382005527262594,0.000814912027438809,0.0179072363575012,NA,0.9,NA,0.128977395346523
"Micronesia (Fed. States of)","FSM",106227,106983,107774,108609,109471,110367,111301,112283,113299,114349,115404,116441,117430,118363,119242,120075,120849,121579,122253,122874,123455,123993,124494,124958,125391,125798,126179,126546,126894,127234,127559,127878,128193,128510,128821,129129,129419,129688,129932,130151,130333,130489,130594,130660,130667,130622,130529,130377,130170,129900,129593,129229,128818,"FSM","Oceania",0,104460,0.636,22,3123,5667,8790,14.3,7.5,NA,"free",FALSE,FALSE,0.22481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.77505170872699,2.03496379995318,NA,70.4481273587036,NA,0.000318721782426185,0.0167748306540098,0.00024195351900684,0.000526670134643053,0.00279580510900163,0.0279580510900163,TRUE,TRUE,0.0107816630392322,0.00545391428068494,0.0213139136240597,0.0107816630392322,0.00545391428068494,0.0213139136240597,NA,0.9,NA,0.62562857721249
"Monaco","MCO",38897,39102,39297,39495,39684,39890,40086,40294,40499,40713,40919,41143,41362,41577,41798,42027,42250,42462,42675,42885,43089,43289,43487,43689,43891,44094,44298,44513,44732,44965,45198,45440,45685,45928,46175,46432,46696,46949,47211,47480,47749,48010,48281,48555,48828,49112,49398,49682,49979,50279,50581,50889,51198,"MCO","Europe",0,37731,0.946,100,5805,0,5805,6.5,6.5,NA,"free",FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,71.7544709759146,52.5958043792312,FALSE,70.4481273587036,NA,0.000575144679320017,0.0302707725957904,0.000436613644791495,0.000950394803238345,0.00504512876596507,0.0504512876596507,TRUE,TRUE,0.00527205300193974,0.000588363508167665,0.0472404261471315,0.00527205300193974,0.000588363508167665,0.0472404261471315,NA,0.9,NA,0.157063146489128
"Mongolia","MNG",3121772,3166244,3209404,3251146,3291243,3329746,3366713,3402258,3436417,3469237,3500845,3531367,3560959,3589666,3617577,3644860,3671639,3698058,3724192,3750086,3775810,3801444,3827004,3852533,3878009,3903436,3928776,3953993,3979071,4003931,4028415,4052289,4075382,4097631,4119011,4139399,4158677,4176784,4193675,4209378,4223951,4237501,4250134,4261890,4272802,4283032,4292699,4301957,4310875,4319524,4327975,4336331,4344680,"MNG","Asia",1,2959134,0.653,72,284235,57858,342093,14.3,7.5,"II","asia",TRUE,FALSE,0.72823,0.437333333333333,NA,NA,NA,0.76,NA,0.7535,NA,0.752935142873257,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,8.61449551148989,6.3170666207393,FALSE,13.3303857045048,40.7050716806503,0.000420955595952953,0.0221555576817344,0.000319562996325885,0.000695605862616667,0.00369259294695573,0.0369259294695573,FALSE,TRUE,0.000846530421397894,0.000271241544219297,0.00264197638460839,0.00248882062986667,0.000659540342393142,0.00939173501528986,0.76,0.9,0.02376849077953,0.0952339193541728
"Morocco","MAR",36191805,36635156,37070718,37497502,37913853,38319726,38715278,39100641,39475653,39840140,40194377,40538760,40873592,41198982,41514923,41821531,42118916,42407174,42686376,42956584,43217848,43470212,43713705,43948376,44174242,44391255,44599334,44798428,44988495,45169567,45341733,45505144,45659886,45805999,45943390,46071868,46191168,46301091,46401590,46492706,46574431,46646783,46709789,46763520,46808017,46843318,46869492,46886622,46894856,46894398,46885418,46868159,46842859,"MAR","Africa",1,34377511,0.582,60,976111,1849185,2825295,7.4,21.2,"I","endemic",FALSE,FALSE,0.60685,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,3.920355957226,2.87645586428561,FALSE,19.3975065234608,17.7405766511329,0.000299511699181585,0.015763773641136,0.000227370432761325,0.000494926533525106,0.00262729560685601,0.0262729560685601,TRUE,TRUE,0.00246404285187191,0.000874315160040412,0.0069443004689298,0.00246404285187191,0.000874315160040412,0.0069443004689298,NA,0.9,NA,0.139210469051771
"Mozambique","MOZ",30528673,31408823,32309195,33229664,34170326,35131420,36113311,37116198,38139962,39184310,40249062,41333970,42438703,43562982,44706339,45867925,47046694,48241764,49452538,50678580,51919357,53174368,54443113,55725109,57019852,58326750,59645171,60974587,62314434,63664382,65024388,66394596,67774943,69165064,70564323,71972177,73387971,74811033,76240848,77676782,79117963,80563416,82012248,83463708,84917172,86372067,87827896,89284091,90739999,92194876,93647846,95097992,96544446,"MOZ","Africa",1,27977863,0.322,32,425132,2562848,2987979,7.4,21.2,"II","east africa",TRUE,TRUE,0.32508,0.759569173441734,NA,NA,NA,0.660495295536791,NA,0.3,156,0.412872392638037,NA,FALSE,FALSE,NA,FALSE,NA,NA,NA,3.41735779186075,2.50668339634312,FALSE,21.2092467132088,167.691025010811,0.000396030866544335,0.0208437298181229,0.000300641710354145,0.000654419124472661,0.00347395496968715,0.0347395496968715,FALSE,TRUE,0.000488226582233862,0.000290027255673391,0.000821871706665352,0.00143539837340565,0.00055972641480175,0.00368102779481175,0.660495295536791,0.9,0.0108737764292505,0.0517647562567049
"Myanmar","MMR",53855735,54336138,54808276,55269360,55718363,56155777,56583190,57001494,57410076,57807267,58191691,58561681,58915869,59253608,59574526,59878046,60163634,60430924,60679668,60909763,61121240,61314273,61489087,61645839,61784917,61907117,62013477,62104926,62181952,62245035,62294981,62332686,62358925,62374238,62379013,62373669,62358529,62333901,62300107,62257417,62205983,62145919,62077306,62000373,61915211,61821691,61719532,61608616,61488992,61360902,61224537,61080194,60928109,"MMR","Asia",1,53897154,0.483,34,2450380,2483867,4934248,14.3,7.5,"II","asia",TRUE,TRUE,0.3465,0.437333333333333,NA,NA,NA,0.76,NA,0.7535,NA,0.752935142873257,NA,NA,FALSE,NA,FALSE,NA,NA,NA,4.3403380902079,3.18187375017946,FALSE,23.7221224840704,82.3281670412122,0.000349300454855327,0.0183842344660698,0.000265166922698512,0.000577199701222618,0.0030640390776783,0.030640390776783,FALSE,TRUE,0.00109576351752239,0.000705212800524709,0.00170260336375017,0.00322157217145438,0.00169124775632505,0.00613660962273263,0.76,0.9,0.0451634346463949,0.15813558989634
"Namibia","NAM",2587801,2641996,2696537,2751250,2805929,2860593,2915328,2970214,3025227,3080309,3135433,3190562,3245659,3300706,3355713,3410697,3465693,3520740,3575822,3630913,3686025,3741170,3796319,3851464,3906576,3961602,4016467,4071137,4125552,4179673,4233426,4286726,4339498,4391685,4443257,4494144,4544296,4593670,4642203,4689879,4736685,4782611,4827642,4871775,4914977,4957238,4998528,5038818,5078124,5116421,5153719,5190006,5225301,"NAM","Africa",1,2458830,0.625,47,54117,177235,231353,7.4,21.2,"I","endemic",FALSE,FALSE,0.47625,NA,NA,NA,NA,NA,NA,NA,NA,0.58,NA,NA,NA,NA,FALSE,NA,NA,NA,8.06298321982229,5.91431959643337,FALSE,34.6826982138155,93.9663085994578,0.000352030481045299,0.0185279200550157,0.000267239386772402,0.000581710918655286,0.00308798667583596,0.0308798667583596,TRUE,TRUE,0.00466327267804573,0.00216937035583048,0.0100241583975563,0.00466327267804573,0.00216937035583048,0.0100241583975563,NA,0.9,NA,0.234588946422419
"Nauru","NRU",11312,11260,11227,11222,11232,11261,11291,11326,11351,11381,11407,11429,11454,11473,11494,11507,11519,11527,11531,11532,11532,11527,11522,11518,11507,11491,11481,11461,11441,11415,11397,11363,11337,11307,11272,11244,11207,11176,11138,11100,11062,11024,10979,10942,10905,10861,10818,10787,10743,10703,10660,10623,10578,"NRU","Oceania",0,10222,0.663,100,1363,0,1363,14.3,7.5,NA,"free",FALSE,FALSE,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,5.19202023119845,3.8073428274059,FALSE,70.4481273587036,NA,0.000462060348589488,0.0243189657152362,0.000350767137670126,0.000763529195125536,0.00405316095253936,0.0405316095253936,TRUE,TRUE,0.00113296877832908,0.000147278237165488,0.00871560033154218,0.00113296877832908,0.000147278237165488,0.00871560033154218,NA,0.9,NA,0.0294878685629815
"Nepal","NPL",29624035,29942018,30260244,30578436,30894880,31207746,31514634,31813598,32103873,32385155,32656655,32917661,33167612,33406080,33632919,33848358,34052872,34246881,34430403,34603532,34767002,34921735,35068441,35207453,35338774,35462390,35578124,35685878,35785655,35877547,35961620,36037966,36106578,36167470,36220469,36265205,36301194,36328047,36345630,36353895,36352703,36341908,36321446,36291214,36251204,36201517,36142282,36073652,35995713,35908486,35811972,35706127,35590988,"NPL","Asia",1,28513700,0.458,19,707710,1622788,2330498,14.3,7.5,"II","asia",TRUE,TRUE,0.18995,0.437333333333333,NA,NA,NA,0.76,NA,0.7535,NA,0.752935142873257,NA,FALSE,TRUE,NA,FALSE,NA,NA,NA,4.24346513667295,3.1108568161408,FALSE,2.37,40.7050716806503,0.000301115503116011,0.0158481843745269,0.000228587939775679,0.000497576730909343,0.00264136406242115,0.0264136406242115,TRUE,TRUE,0.00456610996766379,0.00226359544111689,0.00921072726074729,0.00456610996766379,0.00226359544111689,0.00921072726074729,0.76,0.9,0.273675651594954,0.271015651594954
"Netherlands","NLD",17084459,17132908,17181248,17229539,17277608,17324898,17370682,17414354,17455642,17494467,17530600,17563860,17594086,17621144,17644902,17665116,17681583,17694135,17702746,17707499,17708529,17706050,17700286,17691337,17679383,17664805,17648060,17629558,17609532,17588146,17565590,17542008,17517575,17492481,17466923,17441030,17414949,17388808,17362724,17336844,17311379,17286562,17262566,17239474,17217309,17196140,17176000,17156907,17138837,17121740,17105458,17089783,17074532,"NLD","Europe",0,16936520,0.91,90,2357980,247638,2605618,6.5,6.5,NA,"free",FALSE,FALSE,0.91032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,45.5279407052039,33.3718391499715,FALSE,70.4481273587036,NA,0.000578092831356217,0.0304259384924325,0.000438851696280464,0.000955266461579467,0.00507098974873875,0.0507098974873875,TRUE,TRUE,0.00572271182382971,0.000815668167225648,0.0401504336377277,0.00572271182382971,0.000815668167225648,0.0401504336377277,NA,0.9,NA,0.170986616465522
"New Zealand","NZL",4749598,4792409,4834420,4875597,4915867,4955332,4994118,5032308,5069935,5106966,5143276,5178697,5213103,5246463,5278812,5310141,5340456,5369785,5398105,5425446,5451869,5477418,5502172,5526157,5549377,5571878,5593698,5614865,5635424,5655378,5674724,5693427,5711484,5728914,5745753,5762018,5777777,5793036,5807850,5822223,5836243,5849983,5863519,5876867,5890032,5903078,5916000,5928830,5941566,5954196,5966689,5978998,5991081,"NZL","Oceania",0,4595700,0.908,86,528714,44080,572794,14.3,7.5,NA,"free",FALSE,FALSE,0.86322,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,NA,NA,NA,42.8492717300622,31.4099073064698,FALSE,92.5196842121995,NA,0.000462504367203224,0.0243423351159592,0.000351104208658122,0.000764262911350704,0.00405705585265986,0.0405705585265986,TRUE,TRUE,0.00654944691748798,0.00103771594723351,0.0413362202241847,0.00654944691748798,0.00103771594723351,0.0413362202241847,NA,0.9,NA,0.25195581926666
"Nicaragua","NIC",6284757,6351157,6416568,6480807,6543976,6606538,6669148,6732197,6795865,6859844,6923479,6985855,7046293,7104547,7160711,7214922,7267426,7318402,7367826,7415579,7461640,7505967,7548564,7589404,7628478,7665776,7701261,7734905,7766705,7796656,7824783,7851133,7875742,7898588,7919675,7938967,7956431,7972045,7985792,7997667,8007648,8015730,8021897,8026139,8028462,8028851,8027281,8023752,8018276,8010877,8001560,7990359,7977292,"NIC","Americas",1,6082032,0.589,59,476661,334277,810938,7.5,7.5,NA,"americas",TRUE,FALSE,0.59107,0.609201552437567,NA,NA,NA,0.632,NA,0.382,NA,0.6549,NA,NA,FALSE,NA,FALSE,NA,NA,NA,5.54522821627607,4.06440022618547,FALSE,18.23015615469,59.771003785869,0.000496388212554548,0.0261256953976078,0.0003768266916269,0.000820254093558462,0.00435428256626796,0.0435428256626796,FALSE,TRUE,0.000914174626646444,0.00041923846300466,0.00199341263207254,0.00268769628661569,0.000991196627421518,0.00728786915657632,0.632,0.9,0.0229833988023511,0.0857755884087123
"Niger","NER",22311375,23176691,24074693,25006169,25971630,26971755,28007201,29078590,30186498,31331492,32514050,33734605,34993540,36291212,37627934,39004045,40419822,41875504,43371196,44906971,46482854,48098857,49754920,51450899,53186599,54961679,56775732,58628306,60518972,62447295,64412836,66415162,68453727,70527898,72636918,74779976,76956138,79164493,81404054,83673874,85972999,88300450,90655175,93036234,95442360,97871780,100322396,102792433,105280267,107784956,110306303,112844493,115399229,"NER","Africa",1,19899120,0.295,19,175826,2185354,2361179,7.4,21.2,"III","west africa",TRUE,TRUE,0.1901,0.630702150537634,NA,NA,NA,0.523333333333333,NA,0.686529569892473,NA,0.421566924066924,NA,TRUE,FALSE,NA,FALSE,NA,NA,NA,2.74912248049157,2.01667046789304,FALSE,14.910795,83.3659371704296,0.000441114324167132,0.0232165433772175,0.000334866234130953,0.00072891704712993,0.00386942389620292,0.0386942389620292,FALSE,TRUE,0.000640297404337568,0.000304544895270207,0.00134620797251477,0.00188249039713647,0.000695611158100985,0.00509446988312477,0.523333333333333,0.9,0.0176360265194299,0.0639840083534469
