"dogpop2018","dogpop2019","dogpop2020","dogpop2021","dogpop2022","dogpop2023","dogpop2024","dogpop2025","dogpop2026","dogpop2027","dogpop2028","dogpop2029","dogpop2030","dogpop2031","dogpop2032","dogpop2033","dogpop2034","dogpop2035","dogpop2036","dogpop2037","dogpop2038","dogpop2039","dogpop2040","dogpop2041","dogpop2042","dogpop2043","dogpop2044","dogpop2045","dogpop2046","dogpop2047","dogpop2048","dogpop2049","dogpop2050","dogpop2051","dogpop2052","dogpop2053","dogpop2054","dogpop2055","dogpop2056","dogpop2057","dogpop2058","dogpop2059","dogpop2060","dogpop2061","dogpop2062","dogpop2063","dogpop2064","dogpop2065","dogpop2066","dogpop2067","dogpop2068","dogpop2069","dogpop2070","country"
1526756.07909547,1540703.9259719,1553806.69588148,1566022.54266818,1577317.62017641,1587759.00533273,1597448.6981424,1606473.00630223,1614854.0836595,1622614.69944616,1629842.69982062,1636646.54632694,1643108.08512323,1649266.7008269,1655131.4703615,1660703.77834249,1665967.47092287,1670908.54810193,1675539.47141876,1679861.62548883,1683842.85646431,1687436.24126586,1690603.16450685,1693337.78003313,1695640.85707552,1697506.54947987,1698928.54955354,1699904.70345026,1700437.6265548,1700530.08809805,1700199.78038863,1699463.01111969,1698338.24183065,1696837.01098365,1694976.70319496,1692783.78000443,1690295.9337217,1687541.47204054,1684539.9334235,1681305.93325596,1677854.8561541,1674206.70211895,1670375.00961275,1666378.24017492,1662226.54765215,1657924.08589079,1653472.23950631,1648874.70080659,1644138.8544074,1639278.5464633,1634304.08466713,1629223.31517314,1624047.16105883,"Azerbaijan"
53238.1372046214,53746.1385138357,54245.3398003706,54740.9410776276,55230.1423383907,55711.61024589,56179.4781183396,56631.0792822001,57066.1470701177,57487.0814882776,57892.5491999103,58281.3502019231,58652.9511596082,59007.8854076733,59346.0196124417,59666.5537718514,59972.2878931186,60262.8219752126,60539.8893559336,60801.3566964504,61050.2906713331,61287.7579499973,61514.2918671508,61732.425762656,61940.6929660661,62140.8268151817,62332.8273100029,62516.2944494986,62693.6282398542,62862.2953412075,63023.895757682,63176.1628167693,63319.3631858234,63451.7635270438,63575.4971792618,63689.4974730619,63795.6310799213,63891.7646610089,63980.6982235406,64059.7650939774,64132.2986142431,64195.8987781526,64252.6989245372,64302.165718689,64344.1658269312,64378.9659166175,64406.4326540711,64429.2327128311,64443.7660836196,64452.432772622,64454.6994451303,64450.5661011445,64438.9660712491,"Bahamas"
197780.333515582,206729.460274448,214285.914443193,220158.767045904,224676.433351703,228255.301513102,231558.008026215,235065.94252841,238880.330632999,242829.265500419,246801.045549894,250601.676058659,254090.804306013,257258.206757443,260174.312206251,262872.946667857,265410.78133974,267828.457926994,270137.714561837,272332.114204019,274425.54066584,276423.926121648,278335.979508247,280172.681659003,281937.819068178,283635.430662987,285264.254278675,286825.678296473,288322.858128267,289760.716216599,291138.242829665,292458.467162878,293719.369752628,294925.241959082,296074.190535108,297171.516572674,298219.365751864,299219.000237432,300172.313276509,301079.557302047,301938.586633964,302746.624509797,303503.292280123,304206.94913076,304857.973711133,305454.977640014,305996.698752647,306480.234070098,306907.855488925,307275.145432486,307581.977684306,307826.458997253,308007.579639525,"Bahrain"
1403244.81933225,1417564.79809311,1431982.76975951,1446526.72868965,1461114.95227535,1475607.21568836,1489808.70552366,1503572.07817072,1516843.42825348,1529638.68868624,1541965.3240689,1553854.96406195,1565329.21804945,1576377.25603566,1586975.98415111,1597123.64800396,1606820.97296777,1616069.21579436,1624865.29786347,1633210.20602048,1641114.91364897,1648594.36681783,1655659.31961165,1662315.51597676,1668560.58579728,1674388.03444959,1679787.43679757,1684751.92709626,1689281.59812599,1693382.0926182,1697058.3869728,1700317.89518222,1703167.10343551,1705609.84103023,1707649.11911007,1709289.5766919,1710536.03835326,1711393.63231646,1711867.4783692,1711963.14333173,1711685.76386092,1711040.63687059,1710033.67499861,1708670.94270521,1706958.95991775,1704904.60081578,1702515.16130766,1699797.91199802,1696759.3728142,1693406.85653373,1689749.54841001,1685797.63741102,1681560.01357999,"Bangladesh"
38184.7307847932,38267.6633886318,38342.0627341977,38409.1288109354,38470.19494045,38523.3944724944,38567.794081945,38604.7270904069,38633.9268335591,38654.0599897965,38666.8598772056,38671.6598349841,38667.6598701687,38658.0599546118,38638.4601270165,38612.8603521982,38580.3273050332,38539.6609960769,38492.7280755766,38439.1285470506,38380.1957321042,38315.2629699347,38245.3969178263,38172.0642295445,38094.0649156448,38012.3323012508,37927.6663793255,37839.5338212269,37749.5346128811,37658.0687507697,37564.0695776085,37469.5370758053,37374.3379131995,37280.2054078778,37184.47291663,37089.8070826663,36997.2745632708,36905.2753725173,36815.9428249741,36726.4769452703,36638.2110550112,36553.6784652464,36471.0125257288,36390.4799007793,36312.2139225586,36236.0812589061,36162.3485741428,36089.9492109846,36019.5498302342,35951.4170962124,35884.2176873142,35819.5515894657,35755.5521524198,"Barbados"
1454170.7721848,1451364.77306969,1448527.3893491,1445699.54408704,1442758.00655314,1439642.77676632,1436251.85475875,1432519.54824346,1428444.62645159,1424078.32013623,1419462.32159193,1414655.86156922,1409710.01697509,1404646.63395648,1399484.02019994,1394270.32953642,1389065.1004087,1383911.25588016,1378834.94978871,1373847.25905393,1368968.33751561,1364211.41593882,1359589.87893472,1355110.03419363,1350772.49709997,1346555.42150678,1342429.26896184,1338369.88562662,1334365.5791971,1330411.88813623,1326484.19706717,1322555.12138316,1318599.27647682,1314609.2777351,1310578.97131378,1306499.12644655,1302362.35852034,1298165.12907474,1293905.13041816,1289586.67024156,1285217.44085021,1280814.21146957,1276391.75132576,1271956.36810911,1267518.67720088,1263094.67859603,1258705.44921097,1254368.83519395,1250096.06731063,1245899.45324945,1241791.30069883,1237793.76349795,1233920.38010407,"Belarus"
1769003.15819742,1778890.08258843,1787688.23760396,1795254.85399426,1801744.23947216,1807470.54792556,1812901.62557049,1818382.85706824,1824016.70397088,1829720.08934431,1835430.24394941,1841020.70623091,1846399.3223304,1851569.47686373,1856581.01599136,1861438.70894469,1866149.47880158,1870717.63325489,1875144.86461255,1879425.78825845,1883557.94265382,1887539.63549072,1891366.40523011,1895037.48264112,1898554.867724,1901918.56047877,1905129.63782863,1908191.48438943,1911107.02323848,1913876.25437577,1916497.48549339,1918961.48582089,1921266.87074268,1923415.79410522,1925421.02514097,1927296.71769797,1929056.56408571,1930724.10276889,1932305.48759446,1933810.56471758,1935260.41106412,1936673.33432884,1938068.10374499,1939453.95008303,1940841.64257516,1942241.48891506,1943665.79679668,1945122.56622107,1946618.10488138,1948156.41277815,1949733.79760318,1951345.79781744,1952985.33649689,"Belgium"
50992.6042968435,52030.8724084089,53067.6738512665,54102.0752907842,55134.6100610376,56161.4114899788,57179.6795737113,58186.4809748196,59182.0823603415,60162.883725267,61129.6850707095,62085.4197340844,63027.0210444575,63956.355671093,64872.6236128777,65775.0248686983,66662.4927704036,67534.8939844748,68392.7618449874,69236.629686017,70065.2975058936,70880.7653074005,71682.8997570188,72471.3008541918,73247.8352681839,74010.3696626931,74760.3707064269,75498.5050669799,76224.772744352,76937.8404033544,77636.5080423171,78322.108996429,78989.4432584536,79642.2441669195,80277.5783844113,80895.7125779669,81496.7800811051,82079.9808927125,82646.781681497,83195.0491111563,83725.0498487282,84236.5172271749,84728.917912421,85200.6519022397,85654.2525334899,86087.0531357939,86501.3203789728,86897.7209306209,87275.8547901817,87635.1886235795,87975.9890978521,88299.7228817074,88606.1233081074,"Belize"
1108073.53426694,1138551.82391883,1169557.73207695,1201068.97315436,1233088.63433194,1265621.15343219,1298675.79199774,1332260.07503197,1366364.35509464,1400973.77512781,1436080.13480727,1471673.49726958,1507744.11860012,1544279.07122897,1581269.86540873,1618707.52901999,1656582.0287249,1694884.39240405,1733603.23607798,1772721.48377746,1812217.71818518,1852065.89121254,1892243.52432377,1932733.44507529,1973521.76115314,2014591.10716492,2055924.40714142,2097505.35690864,2139316.68754858,2181342.28783605,2223573.76449804,2266001.95246635,2308617.59019834,2351408.03954731,2394354.00563281,2437435.03588154,2480626.62579531,2523905.91094079,2567252.72816788,2610651.93099542,2654100.43224255,2697597.74953724,2741136.45435052,2784705.35565173,2828278.59830104,2871819.71497438,2915285.48513952,2958639.24852357,3001855.05351233,3044919.58663826,3087817.70142022,3130541.10105958,3173076.56856326,"Benin"
77155.2560845605,78021.6608443142,78873.0510692668,79714.1483112425,80541.0808977453,81352.5267942645,82139.4206212976,82897.796275312,83628.8813597821,84332.3925815985,85008.6132338707,85659.0542131822,86281.3547436212,86877.7811700631,87446.4448717783,87990.5565040073,88509.0773253488,89005.1235600067,89477.4676045068,89927.9036485423,90355.2040886388,90762.3907179639,91148.5192261528,91514.3450614974,91859.3960688151,92185.3720067628,92490.3842546107,92775.4715537602,93039.7840248829,93283.3216679788,93505.706758902,93706.1838493605,93883.6197669166,94038.9588219351,94171.4455661242,94279.2858097905,94362.5739839707,94421.2156576281,94453.9832272886,94462.0098653898,94445.5788650414,94402.707174477,94335.7555696088,94244.2518952544,94128.8571686693,93989.0992346708,93827.0555760618,93642.0651755869,93435.3556367203,93207.3991146445,92959.8009369797,92695.3940348205,92415.5004426777,"Bhutan"
