NUM,CODE,Country,Continent,Cluster,Pop_2010,HDI,RISK (endemic/ rabies-free),Dog vaccination coverage,RP,PP,"Bite Incidence (/100,000)",Deaths,"Per capita death rate from rabies (/100,000)",Exposures,PEP,prevented deaths,"YLL (no TD or AW, GBD 2010 lifetable)","YLL (TD & AW, Country-specific lifetable  (comparable to Knobel et al. 2005) ","YLL (TD & AW, Standard West lifetable  (comparable to Knobel et al. 2005) ","DALYs from NTVs (no TD or AW, GBD 2010 lifetable)","DALYs from NTVs (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",DALYs due to Anxiety,"DALY total (no TD or AW, GBD 2010 lifetable)","DALYs total (TD & AW, Country-specific lifetable,  (cf Knobel et al. 2005) ",Direct costs,Travel costs,Lost income,Productivity losses from premature death,Dog vaccination,Dog population management,Livestock losses,Surveillance,deaths Lower,deaths Upper,Exposures lower,Exposures upper,PEP lower,PEP upper,Prevented deaths Lower,Prevented deaths Upper,YLL rabies lower,YLL rabies upper,DALY ntv lower,DALY ntv upper,Direct costs lower,Direct costs upper,Travel costs lower,Travel costs upper,Lost Income lower,Lost Income Upper,Premature death lower,Premature death upper,Livestock losses lower,Livestock losses upper
103,JOR,Jordan,Asia,Middle East,6471000,0.698,1,18.50%,0.503,0.997,50.8,1,0.015926,"1,652","3,276",313,64,29,31,NA,NA,58,64,29,"577,601","3,268","201,965","289,593","16,867","1,687","132,979",192,1,5,"1,418","5,698","3,041","10,633",244,"1,186",39,289,NA,NA,"533,797","1,907,890","15,863","55,559","186,809","679,827","179,822","1,320,164","412,152","76,876"
104,KAZ,Kazakhstan,Asia,Eurasia,15752000,0.745,1,21.10%,0.472,0.998,290.12684,7,0.045824,"21,590","45,620","4,095",451,196,215,NA,NA,810,451,196,"1,950,392","146,195","5,551,294","4,004,244","63,337","4,524","1,230,506","4,466",3,25,"10,643","50,604","23,421","99,821","1,972","10,630",162,"1,510",NA,NA,"985,223","4,342,813","133,679","566,199","2,819,403","12,586,741","1,534,559","13,596,427","3,254,468","838,505"
105,KWT,Kuwait,Asia,Middle East,3052000,0.76,1,18.50%,0.503,0.999,90.22,0,0.012423,"1,384","2,750",263,24,11,11,NA,NA,49,24,11,"1,132,217","3,188","1,371,458","862,174","7,955",796,"49,301",509,0,1,790,"2,765","1,661","5,144",141,590,9,71,NA,NA,"676,833","2,150,654","8,758","27,042","822,676","2,646,757","331,975","2,629,997","152,801","28,501"
106,KGZ,Kyrgyzstan,Asia,Eurasia,5549000,0.615,1,21.10%,0.472,0.99,290.12684,14,0.256108,"7,606","15,941","1,431",887,393,423,NA,NA,283,887,393,"412,014","76,826","188,594","766,491","22,312","1,594","265,563","1,573",6,42,"3,749","17,826","8,182","34,916",688,"3,708",369,"2,636",NA,NA,"208,630","916,933","49,318","209,103","95,805","427,552","327,770","2,188,161","702,367","180,963"
107,LAO,Lao People's Democratic Republic,Asia,Asia 2,6436000,0.524,1,1.39%,0.724,0.968,132.5,38,0.587327,"6,171","8,253","1,135","2,361","1,010","1,126",NA,NA,147,2361,1010,"898,262","46,850","111,260","2,323,209","35,912","2,565","1,618,936",12,35,389,"6,464","51,769","8,701","67,611","1,199","10,603","2,032","24,849",NA,NA,"945,770","7,575,758","53,925","420,027","117,695","960,454","2,194,323","24,301,130","12,745,304","355,997"
108,LBN,Lebanon,Asia,Middle East,4251000,0.739,1,18.50%,0.503,0.998,90.22,1,0.016418,"1,928","3,828",366,44,20,21,NA,NA,68,44,20,"1,246,868","5,396","526,692","437,785","11,080","1,108","51,063",709,0,2,"1,100","3,852","2,313","7,163",196,821,17,126,NA,NA,"745,504","2,368,364","12,308","38,003","315,943","1,016,363","175,831","1,292,431","158,264","29,520"
109,MYS,Malaysia,Asia,Asia 1,27915000,0.761,0,70.00%,0,0.999,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
110,MDV,Maldives,Asia,Asia 1,313000,0.661,0,70.00%,0,0.995,0.001,NA,#VALUE!,NA,0,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,0,0,0,0,0,0,NA,NA
111,MNG,Mongolia,Asia,Eurasia,2699000,0.653,1,15.00%,0.545,0.994,105.48,2,0.065022,"1,551","2,830",293,110,48,52,NA,NA,50,110,48,"86,507","5,644","86,332","244,069","25,281",775,"2,287,675","1,040",1,14,"1,487","9,615","2,889","16,556",268,"1,978",84,848,NA,NA,"87,951","516,294","15,651","89,854","87,797","526,555","203,053","1,808,062","8,709,538","1,068,499"
112,MMR,Myanmar,Asia,Asia 2,50494000,0.483,1,0.60%,0.735,0.946,1188.26,"4,552",9.01517,"440,844","567,392","79,208","284,278","121,646","135,545",18376,7647,10073,302654,129293,"27,082,117","13,204,757","12,822,150","199,561,091","45,688","20,124","16,307,870",96,963,"7,210","102,928","477,549","139,056","588,854","19,269","98,971","56,565","450,593","4,123","19,407","6,594,789","28,240,622","1,951,235","8,143,622","3,124,169","13,535,451","44,080,751","309,848,066","133,496,341","3,443,795"
