"country","scenario","cluster","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","gavi_2018","gavi_support","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"Indonesia","a4","asia",22506.4899101549,35030.6273069586,28456.4207602261,2221.99544733434,3458.46441200089,2809.41353489881,2871993.10960007,3257414.7302705,3063213.65830098,63494694.4277287,69108788.25121,64985018.0177561,81615.711785488,129047.632468223,104360.736083902,8057.66428893386,12740.4696591221,10303.2094913326,1115365.41924251,1736030.38361502,1410229.12937881,4044670.80187938,6395278.30704642,5171857.38955048,578543.760243747,914771.199140533,739774.871221812,2003601.57147611,2281187.59935545,2143026.73797646,1590569.30789292,1811422.44693277,1701655.85552876,151749.789382902,173959.258045856,162960.341363745,FALSE,NA,492.025256204244,846.758384376404,622.696048880976,9.92837080409295,17.0863814724052,12.5651217972591,3.57777290252448e-07,6.4407831529674e-07,4.8697822679732e-07
"Ivory Coast","a1","west africa",9074.16258692217,14014.027228602,11400.607933529,895.863728062509,1383.56113392533,1125.54641022523,159871.615889257,183752.066133741,171755.612644781,4271829.16672013,4666754.53008981,4367574.17564429,4965.11108789626,7761.1326486348,6279.92382667217,490.189908637725,766.232383648743,619.99726337495,380299.280047304,587329.620176924,477800.893216447,208088.421823429,325270.032397399,263192.386863039,29215.7400576172,45668.1089307257,36952.3700182565,58577.4555029371,67057.8820666107,62707.8703598,20816.4737369593,25556.7225947088,23169.9359625905,0,0,0,TRUE,NA,550.413111090371,939.909389231237,695.482030704619,13.1331777945686,22.4267861190746,16.5946068110135,7.40421697625978e-07,1.32493509354391e-06,1.00145704050221e-06
"Ivory Coast","a3_1","west africa",5759.53228778101,8740.35765005679,7185.95817012331,568.620632240401,862.908209322203,709.447204006013,143721.972824084,162297.184222096,152751.031066363,2572934.02026316,2784607.16573144,2627745.95539493,8326.21838075378,12662.9139206828,10348.0415411793,822.021532873449,1250.16993738541,1021.62981811537,241382.712891775,366309.473720812,301164.398628532,348952.845553026,530704.293779913,433687.705098186,48993.1901962995,74511.2032599862,60890.0156352022,111072.301123332,125159.844605134,117978.181836313,71539.147017277,81343.6521885257,76271.4285263048,0,0,0,TRUE,NA,203.186567987381,334.43840149186,253.936548760265,4.84814999693629,7.9798952816056,6.05907413215696,6.65246781587346e-07,1.14006046445569e-06,8.7711485124737e-07
"Ivory Coast","a4","west africa",5648.27223505029,8841.9619257818,7200.71077388854,557.636274767303,872.939282092409,710.903682494375,143656.79807547,162147.010395807,152604.975220492,2753010.76526012,2980245.06266647,2807633.53649083,8155.17657022834,12692.060164553,10364.5400506305,805.135109188169,1253.04745500122,1023.25866441858,236719.790275368,370567.721524707,301782.68208301,341784.462049014,531925.816477326,434379.159676616,47986.7448244169,74682.7057841985,60987.0962754803,111011.673753298,125474.406342758,117923.71096798,71428.7349978786,81296.6525753967,76221.9551686887,8599.8829020795,9767.15774668343,9164.0339771328,TRUE,NA,216.908108657479,365.442125869634,270.888387017234,5.17555395880559,8.71966222454866,6.46355487814158,6.49947412219738e-07,1.14330860308967e-06,8.7891908807422e-07
"Kenya","a1","east africa",30558.8723268103,47301.5936071725,38691.4102371094,3016.98201082909,4669.93858510888,3819.88207583678,552633.649274175,662906.548267711,606539.277345799,15351924.5230346,17225200.6898458,15817687.0043344,16592.6423594763,26217.2556818327,21310.6919861926,1638.13975120874,2588.34776098729,2103.9380535078,1521378.87081663,2354918.21492285,1926258.71096667,826067.638450691,1305230.717239,1060956.57469108,115654.075033299,182739.577585252,148539.835704651,196240.681995504,233426.833333986,214703.850133425,78393.3022314175,98247.7594854236,88565.7885394742,0,0,0,TRUE,NA,585.565656045104,1038.1228207458,742.241829340069,11.7618474038897,20.8520463556133,14.9088920146802,7.10828404879043e-07,1.33597454998823e-06,9.92562172171078e-07
"Kenya","a3_1","east africa",14317.4794708705,22365.8945254389,18391.7689982341,1413.52002593807,2208.11490416646,1815.76190448348,794971.595344131,923201.534864758,858859.382000641,11901110.3253879,13100462.8742911,12207497.5094983,32277.8019147204,50628.7905685045,41518.5480518645,3186.68655977792,4998.42234823574,4098.99656141182,712798.251106373,1113490.01998556,915637.476789525,1606956.08477598,2520563.3048948,2067008.26776499,224982.811277375,352892.915811621,289392.681866707,481591.015935598,559144.071730887,520101.388284622,335715.232027304,390777.826000315,363533.642295363,0,0,0,TRUE,NA,235.066060076723,405.866016183606,294.025154594732,4.72160738921994,8.15234653790641,5.90587744610133,5.77271646908482e-07,1.05128187389764e-06,7.9827797016269e-07
"Kenya","a4","east africa",14556.1699171751,22630.0900532874,18348.6368661628,1437.08518812588,2234.19810338717,1811.50360381203,794098.842167795,923234.424298224,861800.077924727,12321868.7522302,13544034.2773254,12649872.5245684,33000.0394084133,50787.9693887526,41451.8291062241,3257.99081154202,5014.13757594629,4092.4096083127,724681.497248117,1126643.04112896,913490.135955583,1642912.80630893,2528488.05065168,2063686.65324025,230016.952764774,354002.424401141,288927.637313942,481240.122914467,558915.052354653,521825.71716045,335645.472294517,391657.907509006,364758.508517716,18377.0936574383,21385.781862916,19951.0409402927,TRUE,NA,242.613928072481,410.42479100411,305.170430287937,4.87321612971611,8.24391545632557,6.1297447966272,5.90430321555797e-07,1.05535608878937e-06,7.94361560633443e-07
"Kyrgyzstan","a1","asia",936.525483169219,1502.87638338319,1197.91763287845,92.4602356130028,148.374290931835,118.266666066682,130101.950513435,154539.480694825,142031.275604209,2707056.03401701,3035471.20425975,2796064.21854643,1241.39590642574,1963.28801553564,1585.84618678896,122.559140204839,193.829293227903,156.565640456785,47324.684882496,75943.6369208799,60533.4029986184,62730.4554353523,99209.2455983037,80136.2828995597,8946.81723495323,14149.5384056369,11429.2917533453,37149.8084503981,43946.5793135798,40517.6978889437,27766.0354067676,33322.3160080643,30497.9399131607,0,0,0,TRUE,NA,1378.83795581488,2445.2080021752,1763.13708217058,27.2863281813252,48.3891147161843,34.8913640285878,2.82478392133272e-07,5.28478637556637e-07,3.91395925586804e-07
"Kyrgyzstan","a3_1","asia",466.776430375322,729.471114293299,595.020225910627,46.0833789434649,72.0184045309648,58.7444882930729,108016.259521253,130380.697051378,118974.120250279,1768386.68031092,1990330.97771503,1826384.15725669,1735.36212005701,2681.18598452192,2189.18010728131,171.326881518887,264.705117272697,216.130913847173,23587.2358788736,36861.7739028206,30067.6758892251,87691.6506434017,135486.203108408,110624.067993884,12506.8623508787,19323.4735609069,15777.5567108436,64401.7921138203,78066.1157754177,71240.3268650207,51127.5798025338,61988.8967960522,56578.5216253809,0,0,0,TRUE,NA,659.553902832386,1146.92544841859,834.277705695414,13.0521532063008,22.69692682384,16.5098263911038,2.22293898296328e-07,4.16321642072217e-07,3.07295067782207e-07
"Kyrgyzstan","a4","asia",458.823148813151,722.894443291611,590.165835792544,45.298176297781,71.3691103459229,58.2652295199358,107889.026454669,130037.132584739,119215.14971882,1843279.40487005,2065224.58976791,1901510.50069215,1696.22471066385,2643.45753996594,2173.93468417174,167.4629673395,260.980305790629,214.62578084432,23185.3391334291,36529.4403055783,29822.3729190832,85713.9515845561,133579.702130264,109853.683356704,12224.7966157835,19051.5623227159,15667.6820016354,64526.6241097652,77925.8006743112,71390.1583139265,51238.7525213336,61905.3958163679,56698.1713475501,3238.92240708483,3923.74362715177,3586.1911840594,TRUE,NA,697.298661696607,1217.54186033503,874.686123063822,13.7990980326676,24.0943808048632,17.3094833290003,2.17671771863233e-07,4.09669276277215e-07,3.04514618753501e-07
"Lao People's Democratic Republic","a1","asia",1093.26411353909,1751.38420192544,1403.26054665357,107.934550999079,172.908691615023,138.539530532536,101620.067108016,116635.598928836,108822.312551576,3470146.48843306,3807607.2524169,3557537.12618887,1433.63246860892,2279.32912098839,1853.33090512146,141.538055517151,225.031044380119,182.973571179832,54146.9620576765,86742.1995798273,69500.4021770341,71004.6565336609,112890.147863344,91791.3951049512,10020.9551832419,15932.2946915718,12954.6075068739,29009.7304424492,33229.380559704,31051.98741673,21612.1124327846,25091.3667004693,23359.1688590578,0,0,0,FALSE,NA,1522.44204510856,2655.91588903639,1919.53693555643,30.7391437969747,53.6247541823097,38.7567606105268,4.31435207175494e-07,7.85711927075719e-07,5.96847757358981e-07
"Lao People's Democratic Republic","a3_1","asia",547.957665176602,857.39327787967,698.168283628659,54.0981486768845,84.6477601629074,68.9279738372775,81397.008500152,92860.4894719377,87263.5888543465,1341972.60281913,1460493.77378586,1374235.3319356,2011.10254911669,3211.45550728664,2575.01714077305,198.549872774409,317.056970900114,254.223398959425,27139.1354916816,42464.799412075,34578.7363687782,99605.4769131728,159056.313428282,127534.923805326,14057.4163566182,22447.7698546556,17999.1259466972,50129.484036525,57282.3590580603,53832.0023729195,39829.4068987656,45478.3273747297,42753.5705378227,0,0,0,FALSE,NA,417.870526237794,726.215465455668,533.680071552082,8.43709107733233,14.6627858130632,10.7753648250363,3.51085846006845e-07,6.40632068933072e-07,4.78343183843451e-07
"Lao People's Democratic Republic","a4","asia",549.80149697891,845.464047502795,694.348810710823,54.280184431315,83.470024510061,68.550889206643,81675.0611538924,92555.036603998,87215.9992767994,1399931.43506492,1522239.77432678,1433456.98011751,2069.74370775102,3113.56098204789,2562.43022863565,204.33933119427,307.392150207603,252.980732440704,27230.4564171595,41873.970922788,34389.5662930378,102509.844258875,154207.813346634,126911.52178793,14467.3125018542,21763.4963943495,17911.1446229019,50303.7664599748,57240.6702434976,53799.0887164331,39943.4993028266,45470.9740956534,42727.4303794638,2785.49490558246,3186.64617952577,2986.27668478033,FALSE,NA,449.623901101221,735.472594324659,559.413077514601,9.07821338415652,14.8496935619428,11.294931775484,3.61586211158339e-07,6.18951860100826e-07,4.76296214261516e-07
"Lesotho","a1","east africa",1089.97896510945,1714.84151984446,1390.2908357281,107.610218556142,169.300946758252,137.259071485182,18653.8695772858,21892.8780274223,20213.4932331545,676582.583715152,752327.911870901,695553.576822719,599.266977057406,938.212780593573,768.312555618389,59.1637567686004,92.6268172172502,75.8530987074793,43437.2969922008,68339.00724365,55405.1755769365,23881.6880814274,37389.1868531879,30618.4079964164,3478.85433475731,5446.49667618845,4460.1948161503,6644.17980094594,7734.45014235165,7153.30529726487,2638.44446058415,3269.34482704075,2953.44131931237,0,0,0,TRUE,NA,721.139807205678,1255.41359806788,905.300286629953,18.095675264932,31.5022920199674,22.7168433089052,7.74802301427984e-07,1.41208216619905e-06,1.07406649610238e-06
"Lesotho","a3_1","east africa",531.360360912539,842.36752120411,677.961374054106,52.4595486703979,83.164314140932,66.9330087734851,25611.0364963041,29044.8441370306,27400.4271275455,472079.717709581,505619.807522925,481044.877516439,1171.96705018213,1837.30398136308,1483.23925376244,115.704646096572,181.391283059026,146.435578463112,21175.507551674,33569.6094754019,27017.7778624119,46704.6451843436,73219.3200585366,59109.3094807568,6803.48293633455,10665.8854309263,8610.47497189116,15721.8376679322,17847.1389134238,16825.0712215917,10891.1819689791,12413.5365894689,11688.8080756622,0,0,0,TRUE,NA,256.941541790678,431.428347276784,324.320487268795,6.44747475573616,10.8258997692251,8.13822529381847,6.56669428005984e-07,1.16863182292654e-06,8.81564918345779e-07
"Lesotho","a4","east africa",528.345542636739,829.766218503078,676.417854004519,52.1619050791444,81.9202268868134,66.7806218603439,25717.0211320089,29160.5906286285,27415.1774653373,485763.534599986,519695.242021448,494851.538818732,1157.53494751433,1801.42646241131,1479.14221736353,114.279809680439,177.849207680292,146.031090856991,21055.3625204254,33067.428657758,26956.2662727818,46129.5042413801,71789.5471033357,58946.0364337129,6719.70194247421,10457.609875783,8586.69092674656,15777.6186569478,17926.8994798519,16836.5598940282,10927.2215820879,12457.5346056958,11695.2272208879,641.382955949435,731.560227651241,686.070186734287,TRUE,NA,269.654934428888,448.967215320309,334.553049064322,6.76649392843732,11.2660053596513,8.39499258572223,6.45697237726627e-07,1.14176068111397e-06,8.78529953074426e-07
"Liberia","a1","west africa",890.989768828998,1447.58279152749,1155.55822594124,87.964636772002,142.915327323534,114.084654134036,33237.4619682297,38339.0099892865,35880.7951854552,1607361.02609234,1758200.80983003,1648106.04163318,786.101032579595,1277.30275552653,1024.54876098226,77.6092994735961,126.10411125757,101.1504988811,42355.0714544585,68813.8907049095,54931.8891661956,37368.9649086449,60719.2712778345,48704.0788773736,5261.94387151825,8549.91296024747,6858.04731260969,15287.4661641934,17589.7539332036,16457.3106644066,1189.42217329108,1810.09648982815,1483.08692832104,0,0,0,TRUE,NA,1258.40253545037,2236.60921047322,1608.61649967065,26.4720078529516,47.0497594495398,33.8391789686189,4.46908487500611e-07,8.35522866777134e-07,6.2254932283567e-07
"Liberia","a3_1","west africa",474.049503073832,758.951225173922,614.562207989176,46.8014266927467,74.9288837938418,60.673807142159,30641.0007726002,34450.3736757987,32553.4187191014,1521565.76877636,1637111.21895152,1552695.17211522,1210.86021830118,1944.15189903548,1582.22250311415,119.54444709788,191.940044219605,156.207885486546,22534.9395448516,36078.3417467724,29214.5063200912,57560.7856136346,92419.3469810457,75214.2723976821,8105.16490996979,13013.617520461,10590.9617957368,25933.8141230683,29209.0637274289,27584.7435788903,10030.3920355652,11438.4571867165,10743.9181602595,0,0,0,TRUE,NA,782.63728751402,1352.02329237338,981.3380665862,16.4637147792054,28.4414328522251,20.6436241768799,4.14549480120487e-07,7.49659070512942e-07,5.73586083404803e-07
"Liberia","a4","west africa",476.153923408323,757.43929380452,611.6037525135,47.0091895389827,74.7796155324245,60.3817280741063,30515.5298838728,34569.4822317661,32527.1547835184,1561743.35886596,1685374.69180329,1591691.50059248,1239.4249983773,1957.53500597023,1573.89636989918,122.364558609564,193.261316563667,155.385872361824,22634.9775887841,36006.4689111624,29073.8699206051,58918.6724755622,93055.5410994687,74818.4721544057,8296.36968293588,13103.200353454,10535.2289524658,25880.7795740237,29326.9816487957,27562.9720718648,10001.5738610452,11474.9060872335,10731.8429135594,1874.18814434679,2141.01916528986,2007.41000422747,TRUE,NA,797.811203428213,1359.80369446303,1011.30641828371,16.7829163144254,28.6051029493635,21.2740444272591,4.22622761939838e-07,7.56366322108389e-07,5.71018381397902e-07
"Madagascar","a1","east africa",13545.448835501,21407.6525389502,17352.6685164332,1337.29985283059,2113.51066601462,1713.17475965985,301456.062836785,377476.051545804,338206.281975322,10523358.7767575,12238095.6407837,10999085.6695967,7341.96733252706,11841.844869469,9546.73119711228,724.849501298367,1169.10835465851,942.518950826577,662750.600630407,1047431.85335369,849029.930382598,359227.170582064,579396.806641321,467101.674649617,50594.8068311712,81604.2657995947,65788.2279926682,177824.797598013,222010.328639138,199715.814377988,70987.463826826,93873.9897627876,82357.4965100351,0,0,0,TRUE,NA,888.658726132208,1666.86871331684,1152.13107423866,18.1626109362941,34.0678452048992,23.547519237321,3.30703863082915e-07,6.65927645042982e-07,4.78015785922884e-07
"Madagascar","a3_1","east africa",7168.67372525771,10905.9266848183,8945.75149454834,707.740764754297,1076.70807573128,883.186102018603,591430.984668286,727616.749651473,659944.213288272,8557817.14092494,9817509.71360077,8918364.24226235,14247.3355078247,21897.3025098148,17869.2680746621,1406.59493156894,2161.85227816257,1764.17702038828,350748.275294212,533604.279088268,437696.989454022,697092.453699009,1071389.40664189,874306.070853063,98180.9309725123,150898.218478789,123140.314510329,395210.885211046,486439.526902166,441059.045541864,269889.180804364,332089.497438969,300931.195988171,0,0,0,TRUE,NA,390.816043989398,689.076894989166,499.08950971015,7.98758797489713,14.0835116798435,10.2005059092872,2.92890168662018e-07,5.54066280287839e-07,4.05144577699541e-07
"Madagascar","a4","east africa",6999.05100181846,11060.2571671265,8969.44762895785,690.994443104362,1091.94464218134,885.525547351373,588108.427857207,728791.12933082,659734.424069159,8983132.99572267,10328160.2649584,9366618.39547166,13981.4642969655,22051.2170889164,17916.9924055121,1380.34629739876,2177.04778378816,1768.88869450091,342448.988706876,541155.34816597,438856.391959118,684083.929077404,1078920.12644189,876641.122966851,96348.7650221411,151958.871304585,123469.19138912,393210.210825298,487070.06918936,440910.778887733,268067.909347934,332491.144944424,300837.877888657,20044.7721702854,24902.292783549,22519.1997833301,TRUE,NA,407.375835968612,738.70376132205,522.778498951087,8.32604080280499,15.0977969602173,10.6846669065351,2.87052421846308e-07,5.60799706666664e-07,4.06363220484439e-07
"Malawi","a1","east africa",11754.9039463796,18482.8939327207,14916.3308914744,1160.52494889143,1824.75838462659,1472.64275611605,199026.05338563,233898.444466886,216626.424761569,7505399.64443696,8317075.33582345,7712161.03383473,6488.35325793066,10128.3796050741,8209.09220694406,640.574850070861,999.943281301904,810.458031589695,567377.748107811,892119.815346719,719971.364278333,313175.443815216,488869.772013568,396230.906831,43943.9855301549,68596.9689250922,55598.1178609113,70443.4495821895,82832.9854727483,76649.1264974815,28465.9653625977,35259.2427116121,31664.0858833028,0,0,0,TRUE,NA,741.026693023723,1281.8468731889,939.465758139618,15.3525541444781,26.5572397200171,19.4638048190524,7.8330549368709e-07,1.43780289936779e-06,1.07099618509205e-06
"Malawi","a3_1","east africa",5525.38355598053,8626.82409617251,7013.49407442464,545.503859339043,851.699396181744,692.420362548245,305311.646620684,346975.643441694,326181.42554849,4849778.50287571,5262264.63003538,4959319.79335935,12644.2076527334,19679.1093601221,16057.1600488415,1248.32312598185,1942.85699726354,1585.27325531763,266695.473967671,416393.706944416,338522.585336829,610302.057536161,949857.932012474,775036.133946831,85636.0398461411,133281.660629456,108751.108454091,171223.154619782,194661.697230316,183013.695477248,120011.882246395,136930.566464264,128394.194393439,0,0,0,TRUE,NA,246.442987542075,416.179864690675,308.854104852567,5.10579355020012,8.62239372300263,6.39882397237955,6.49547796646058e-07,1.14932524189392e-06,8.77374778262852e-07
"Malawi","a4","east africa",5708.45318678472,8681.98362662845,7068.47932562368,563.577752150225,857.145124326802,697.84888464665,303779.701175014,347474.535047914,325590.41946897,4923522.22844096,5366775.53752451,5038140.06179893,12957.7119278279,19942.7880905987,16175.764087999,1279.27442379687,1968.88917469399,1596.9826616309,275531.755008028,419056.109829164,341176.576228355,625434.069710544,962584.998520558,780760.833439114,87759.3254905467,135067.490385644,109554.383795825,170354.834257969,194997.420736595,182699.1528022,119743.395471024,136886.962943671,128151.223945439,4120.4371695737,4712.27890008225,4413.19600629481,TRUE,NA,246.882341931015,414.176173032435,311.462261342991,5.1148960725631,8.5808813389528,6.45285962873779,6.64506837007418e-07,1.17066170604817e-06,8.85377071535292e-07
