"cluster","scenario","total_deaths_lci","total_deaths_uci","total_deaths","U5_deaths_lci","U5_deaths_uci","U5_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","U5_deaths_averted_lci","U5_deaths_averted_uci","U5_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","U5_YLL_averted_lci","U5_YLL_averted_uci","U5_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"asia","a3_2",240644.310123088,388479.001851414,313657.126080441,23758.061059497,38353.3183959242,30966.3883154099,46733691.7111387,58315733.4363687,52381190.2114939,697028686.926941,803478321.202301,725614875.124317,544398.393882717,878681.182234446,707588.527466776,53746.7529398144,86749.4484647451,69858.0050862476,12164265.8766297,19638534.8170759,15856385.4345307,27511983.1935742,44408286.7626661,35762316.0356876,3869644.93384898,6245412.43751686,5029392.96728811,28607829.142308,35711753.9145159,32049172.8688308,21671295.7701164,27048425.3095169,24275243.7664619,0,0,0,793.266887944987,1475.90134399882,1025.47574891028,15.695914833466,29.2046674915811,20.2899296119473,1.52442356985842e-07,3.07147102236768e-07,2.20782149468492e-07
"asia","a3_3",120164.111744264,188908.172161726,153370.599333115,11863.4274066992,18650.3137620857,15141.8002022321,64374321.7079166,80809551.9888306,72495182.8028227,964070760.851102,1116070836.30939,1006843347.2203,688608.023158153,1074135.71699974,871871.874411962,67984.1191835489,106046.064158398,86077.1867730527,6076221.84796199,9553156.5674921,7755628.11765201,34800641.5954281,54290132.4389222,44065229.6081157,4894148.92268054,7634809.85728854,6196838.98342321,38900230.0097203,48857261.3796349,43834650.8145755,32676065.4648809,41055879.3620588,36827539.3990449,0,0,0,897.531611316238,1620.76362571376,1154.80654528439,17.7577529753811,32.0704097724456,22.8489300106783,1.40942820721667e-07,2.76125800986611e-07,1.98900152780972e-07
"asia","a4",185063.594166329,288768.013332314,235349.670835419,18270.7505855622,28509.1639576669,23235.3378610133,54835961.3060072,68817887.3378218,61890878.2752262,901681386.456953,1039143609.35802,938598042.864455,615230.778059108,960454.652897965,783526.929340266,60739.8129768112,94822.6877949298,77355.1663012715,9355476.96971425,14600137.3234789,11898575.9151852,31089749.7175512,48544423.4471444,39599701.1451214,4372583.59397193,6826915.45296655,5569025.80382544,33396335.6314624,41958242.9681932,37705905.8697826,26591866.2812718,33416009.399536,30028443.7250598,1576864.25472421,1972611.57187095,1775624.91403007,938.806828345642,1689.03059862553,1197.91421037023,18.574355660825,33.4239940430074,23.7021496557453,1.46629299640952e-07,2.8759282560124e-07,2.07799524044371e-07
"asia","a5_1",80467.848548718,151495.545816459,111138.150106107,7944.33933704456,14956.6820254685,10972.3224077472,42605039.3625764,57138448.6082992,49606984.4608271,628154792.973231,765577891.755432,665153918.499368,146823.372911806,326193.652048175,221012.139666396,14495.4129886378,32204.0803649873,21819.8381935503,4064013.54664681,7657147.15646701,5615651.35115431,7410883.25585575,16471709.2254282,11159359.8381886,1042781.68290607,2317247.19220048,1569972.31261458,25378641.687391,34246256.0844141,29659984.4855818,20132831.287474,27197980.7109631,23543320.3641907,0,0,0,1925.71127313189,5214.27805786276,3009.58091941635,38.1353740754187,103.304540811719,59.605024673829,4.2872824565085e-08,1.28530776416706e-07,7.45152580149979e-08
"asia","a5_2",80311.9614911598,148221.282426613,110966.981776132,7928.9490947822,14633.4242285107,10955.4234931919,13621558.8650346,25202547.4348861,18098822.4697644,229601154.23936,355298512.095834,257968620.582925,143605.549436175,323836.824527471,220510.150104166,14177.727328114,31971.398145678,21770.2783320908,4056994.16669203,7491036.36768605,5606987.95301232,7250368.50336125,16352732.6948644,11134147.9487438,1020018.18613989,2300470.29440914,1566422.73003386,7382335.71607739,14563236.5001079,10154705.2393521,5758543.41485513,11490849.02322,7967309.37210322,0,0,0,709.002611344106,2474.12800891616,1169.87186513212,14.040537353825,49.0042005356167,23.1691389202378,9.86082657073589e-08,4.38664451173919e-07,2.17150714773711e-07
"east africa","a1",275835.719269273,424652.252972705,346812.671572686,27232.3989602649,41924.5904880031,34239.7317568682,8942454.65232504,10662920.6452105,9787562.25871875,184219799.472404,208070523.625618,190322290.583455,159259.95412002,249837.99793662,201064.959719757,15723.2378042962,24665.7251398325,19850.5154246279,13234083.2168772,20372600.8568864,16637742.6917254,7688365.66435852,12060511.0328489,9705455.22774266,1070070.97545294,1678635.15920988,1350821.33991523,1965830.00439851,2362840.70170236,2161007.03123041,851690.917055085,1062648.59008965,953664.898817791,0,0,0,737.357011318742,1306.48363410186,946.571152172534,15.2746263380257,27.0630368935475,19.6098262386937,6.74019006043351e-07,1.27090337098128e-06,9.3042251512378e-07
"east africa","a2",72137.1528946465,150205.130123646,106319.835101132,7121.87577696171,14829.2833148723,10496.6252178426,2693423.23285348,4422318.65249477,3450064.75300027,89272276.5241227,116084485.352317,95872994.5502359,41032.0564103139,86778.7268146113,60935.3148128523,4050.96676125165,8567.39263551422,6015.95329331878,3430321.88221911,7163561.43902777,5063871.09645646,1960349.13733163,4160025.12805553,2916539.92631102,271716.527035627,577417.977152953,404553.367455797,840971.494576766,1253018.02552591,1027487.35735973,338921.479207299,522305.187977315,422279.67759785,0,0,0,1028.73457356477,2829.11692729925,1573.35684314894,21.4595522325246,59.2162299774456,32.8721694105181,3.27465811141002e-07,1.03188666172668e-06,5.93051723472625e-07
"east africa","a3_1",157277.223473089,244256.427822662,198892.98720355,15527.4890008019,24114.6741571292,19636.0833624976,6995394.55229346,8147676.97852329,7573440.11656153,135014598.721144,148391093.21336,138603747.408891,274489.831319369,426719.638995236,348509.367374859,27099.5236469999,42128.6970523001,34407.2412336009,7523124.66644141,11681627.8913309,9513315.76938618,13237779.2404831,20575458.7254417,16807283.9477784,1843056.28153785,2864496.3776453,2340038.68010898,4080169.01951588,4758594.44758806,4418681.3321394,2730652.30250228,3184771.15757322,2957933.25833079,0,0,0,316.401183313363,540.606886965902,397.704510650379,6.56192411176706,11.2096667059953,8.24664757491719,5.76829638126648e-07,1.04583814286661e-06,7.88718038660011e-07
"east africa","a3_2",186100.175530111,288940.605069839,236374.092002185,18373.0890257326,28526.2034008035,23336.4757629159,5740717.15934574,6684587.67453173,6207160.45366989,114937818.345087,126169907.440703,117844169.189569,246210.590435808,380889.225411823,311505.784836171,24307.6025278834,37604.0034755444,30753.993114314,8913334.55814741,13838425.0220153,11320741.0073768,11875221.4043892,18368548.0186735,15022411.6196854,1653409.89084075,2557289.50040012,2091436.28126346,3350167.87824993,3896662.85828805,3618885.39380208,2079936.02677681,2419740.56255039,2246781.52471387,0,0,0,301.761800221086,512.447117800148,378.304914149655,6.25731648621549,10.6246362189145,7.84455733027215,6.31849865872097e-07,1.13692578776319e-06,8.60778253353021e-07
"east africa","a3_3",125231.937134257,196185.996791507,159322.611119948,12363.7579775435,19368.8306546988,15729.4237341831,8375992.17661285,9813744.36124002,9097468.7566194,157158860.234964,172992291.386867,161509445.109948,305365.093785261,473844.107850363,387422.18950146,30147.7418679811,46781.1486639082,38248.9826136828,5978066.72057143,9366970.76176505,7605503.38025338,14728334.9376338,22850024.5356996,18683323.4473606,2050804.29982994,3181297.64669575,2601282.07476653,4854694.05951479,5702503.31590191,5285402.53168176,3487642.13578858,4094892.87024152,3797275.91167494,0,0,0,331.667857912023,566.509712169391,416.882278523543,6.87784207799985,11.7455430039711,8.64457790740465,5.35493057818529e-07,9.76053489759399e-07,7.33004132001628e-07
"east africa","a4",157740.831631018,244659.655676441,199250.754873958,15573.2595861031,24154.4835836063,19671.4046470704,6997606.67367417,8123294.93559441,7564020.08241998,142492985.173483,156504754.89184,146312059.404859,275693.655746376,430017.527723532,348975.276612052,27218.3734724003,42454.2873051268,34453.2389972703,7544138.73753128,11702984.1497981,9530427.67690185,13294718.385618,20738822.9345071,16829217.4518047,1850918.21313295,2887355.58303874,2343051.01137544,4081370.94325997,4744450.12781183,4413977.5753839,2731289.83665297,3175891.79955215,2954903.53915773,159122.032899181,186287.975743398,172909.149109351,331.365528116554,567.676301683985,419.261962696317,6.87083281551099,11.7719496082854,8.69393124331931,5.81086634529611e-07,1.05361049927027e-06,7.90614067815468e-07
